k,selection_count,selection_probability,mean_residence,mean_final_occupancy
2,29,0.058,1.3046699767574708,0.04351423110943309
3,21,0.042,1.3044575169496129,0.04347454636421867
4,24,0.048,1.3040407172247033,0.04346990141047107
5,28,0.056,1.3042919864184463,0.04349592411570498
6,23,0.046,1.3045384985128445,0.043481531236510794
7,20,0.04,1.3044503154719707,0.043463009786140906
8,17,0.034,1.3044509324008784,0.04347547192499702
9,19,0.038,1.3040435599607014,0.04347305379219909
10,22,0.044,1.3043602957229186,0.04346901006923884
11,22,0.044,1.3040863235702747,0.04347728806096369
12,23,0.046,1.3043749922034464,0.043478713056577474
13,23,0.046,1.3044939819954908,0.04347036507127253
14,18,0.036,1.3042327883630465,0.04348301033937346
15,27,0.054,1.3041134366504086,0.043477587773372836
16,18,0.036,1.3043032922845188,0.04346401604220116
17,21,0.042,1.3044236148072408,0.043479522118550044
18,19,0.038,1.3044606985191811,0.04349405815396234
19,19,0.038,1.3043308514061898,0.043480432644858055
20,13,0.026,1.304322022552204,0.0434768261752357
21,21,0.042,1.3045643732382193,0.04346573706110502
22,25,0.05,1.304430371284791,0.043478538988148664
23,24,0.048,1.3042501573108067,0.04347568163250513
24,24,0.048,1.3043092963946359,0.04348154307295934
