model,beta,k,selection_count,selection_probability,mean_residence,mean_final_occupancy
null,0.5,4,84,0.084,2.7265511122896724,0.0908543558204586
null,0.5,6,93,0.093,2.7275903893860134,0.09096335839405871
null,0.5,8,90,0.09,2.727340668407751,0.09096969998226206
null,0.5,10,103,0.103,2.726808338139439,0.09089155763537506
null,0.5,12,84,0.084,2.7283031652505034,0.09102946316731587
null,0.5,14,92,0.092,2.727513999527878,0.09086507086261358
null,0.5,16,84,0.084,2.7262938664947685,0.0907845808962028
null,0.5,18,95,0.095,2.727448835655834,0.09089691354581116
null,0.5,20,99,0.099,2.727253145769545,0.09091818623769227
null,0.5,22,73,0.073,2.7275419181189724,0.09088132336160622
null,0.5,24,103,0.103,2.7273545609596157,0.09094549009660348
candidate_pair_residual,0.5,4,0,0.0,2.5909768472494354,0.08624518228712073
candidate_pair_residual,0.5,6,0,0.0,2.6524275976198783,0.08829211399037118
candidate_pair_residual,0.5,8,0,0.0,2.828275686939613,0.09429487891951857
candidate_pair_residual,0.5,10,0,0.0,3.142818689778658,0.10497167078245953
candidate_pair_residual,0.5,12,1000,1.0,3.6242331573975317,0.12150359429579674
candidate_pair_residual,0.5,14,0,0.0,3.1039269018079603,0.1037451687691284
candidate_pair_residual,0.5,16,0,0.0,2.716003059643211,0.09046308430550294
candidate_pair_residual,0.5,18,0,0.0,2.4745232732305,0.08234559831002136
candidate_pair_residual,0.5,20,0,0.0,2.343872168922163,0.07791210840294197
candidate_pair_residual,0.5,22,0,0.0,2.2770856130080652,0.07561852743058699
candidate_pair_residual,0.5,24,0,0.0,2.2458570044029886,0.07460807250655142
control_shift_minus_1,0.5,4,0,0.0,2.4983588309903344,0.08309552058097627
control_shift_minus_1,0.5,6,0,0.0,2.5238038805897385,0.0839623751330566
control_shift_minus_1,0.5,8,0,0.0,2.6436162776107115,0.08802501308650404
control_shift_minus_1,0.5,10,0,0.0,2.8728298105746632,0.09590777682151445
control_shift_minus_1,0.5,12,0,0.0,3.258397303843262,0.10899286033722784
control_shift_minus_1,0.5,14,1000,1.0,3.5073148608477505,0.11735642732388656
control_shift_minus_1,0.5,16,0,0.0,2.9941821474646715,0.09999307648696863
control_shift_minus_1,0.5,18,0,0.0,2.6430715786951775,0.08804417017134201
control_shift_minus_1,0.5,20,0,0.0,2.440073482585709,0.08115218325663574
control_shift_minus_1,0.5,22,0,0.0,2.3347585305185845,0.07762474494685526
control_shift_minus_1,0.5,24,0,0.0,2.283593296279396,0.07584585185503266
control_shift_plus_1,0.5,4,0,0.0,2.796030754482273,0.09322157854845371
control_shift_plus_1,0.5,6,0,0.0,2.870773047389181,0.09576697777426281
control_shift_plus_1,0.5,8,0,0.0,3.1108950383780383,0.10390771479231894
control_shift_plus_1,0.5,10,1000,1.0,3.5133903712683847,0.11764235325062779
control_shift_plus_1,0.5,12,0,0.0,3.2197646898520023,0.10757179896334443
control_shift_plus_1,0.5,14,0,0.0,2.8093043474088697,0.09374658131963522
control_shift_plus_1,0.5,16,0,0.0,2.534382519414692,0.08435431464234357
control_shift_plus_1,0.5,18,0,0.0,2.3752394510609864,0.07896586107117906
control_shift_plus_1,0.5,20,0,0.0,2.291050593509901,0.07608314106624285
