k,F_k,pair_count_k2,candidate_pair_residual,control_shift_minus_1,control_shift_plus_1,control_linear,control_cubic,null
4,3,16,0.6842105263157895,0.7777777777777778,0.5238095238095238,0.14285714285714285,0.9104477611940298,0.0
6,8,36,0.6363636363636364,0.7560975609756098,0.46938775510204084,0.14285714285714285,0.9285714285714286,0.0
8,21,64,0.5058823529411764,0.6623376623376623,0.30612244897959184,0.4482758620689655,0.9212007504690432,0.0
10,55,100,0.2903225806451613,0.4925373134328358,0.0582010582010582,0.6923076923076923,0.8957345971563981,0.0
12,144,144,0.0,0.23605150214592274,0.23607427055702918,0.8461538461538461,0.8461538461538461,0.0
14,377,196,0.3158813263525305,0.08624708624708624,0.5136476426799007,0.928388746803069,0.7584107657801986,0.0
16,987,256,0.588093322606597,0.40877598152424943,0.7236913113869401,0.9680957128614157,0.6116466653551053,0.0
18,2584,324,0.7771664374140302,0.6626756897449245,0.8561598224195338,0.9861644888547272,0.38593155893536124,0.0
20,6765,400,0.8883461270062806,0.8253656406898057,0.9294905693636524,0.9941046425939573,0.0836437521164917,0.0
22,17711,484,0.9467985710359988,0.9153105861767279,0.9667821969047047,0.9975187503524502,0.24905673683839347,0.0
24,46368,576,0.9754601226993865,0.9605924811001265,0.984762106321345,0.9989653388515262,0.5406698564593302,0.0
