k,F_k,hermitian_diagonal_real_components,hermitian_off_diagonal_real_components,hermitian_total_real_dimension,full_ordered_with_self_k2_count,full_ordered_with_self_k2_residual,full_ordered_with_self_k2_exact,full_traceless_k2_minus_1_count,full_traceless_k2_minus_1_residual,full_traceless_k2_minus_1_exact,ordered_without_self_count,ordered_without_self_residual,ordered_without_self_exact,unordered_with_self_count,unordered_with_self_residual,unordered_with_self_exact,unordered_without_self_count,unordered_without_self_residual,unordered_without_self_exact,linear_count_count,linear_count_residual,linear_count_exact
2,1,2,2,4,4,0.6,False,3,0.5,False,2,0.3333333333333333,False,3,0.5,False,1,0.0,True,2,0.3333333333333333,False
3,2,3,6,9,9,0.6363636363636364,False,8,0.6,False,6,0.5,False,6,0.5,False,3,0.2,False,3,0.2,False
4,3,4,12,16,16,0.6842105263157895,False,15,0.6666666666666666,False,12,0.6,False,10,0.5384615384615384,False,6,0.3333333333333333,False,4,0.14285714285714285,False
5,5,5,20,25,25,0.6666666666666666,False,24,0.6551724137931034,False,20,0.6,False,15,0.5,False,10,0.3333333333333333,False,5,0.0,True
6,8,6,30,36,36,0.6363636363636364,False,35,0.627906976744186,False,30,0.5789473684210527,False,21,0.4482758620689655,False,15,0.30434782608695654,False,6,0.14285714285714285,False
7,13,7,42,49,49,0.5806451612903226,False,48,0.5737704918032787,False,42,0.5272727272727272,False,28,0.36585365853658536,False,21,0.23529411764705882,False,7,0.3,False
8,21,8,56,64,64,0.5058823529411764,False,63,0.5,False,56,0.45454545454545453,False,36,0.2631578947368421,False,28,0.14285714285714285,False,8,0.4482758620689655,False
9,34,9,72,81,81,0.40869565217391307,False,80,0.40350877192982454,False,72,0.3584905660377358,False,45,0.13924050632911392,False,36,0.02857142857142857,False,9,0.5813953488372093,False
10,55,10,90,100,100,0.2903225806451613,False,99,0.2857142857142857,False,90,0.2413793103448276,False,55,0.0,True,45,0.1,False,10,0.6923076923076923,False
11,89,11,110,121,121,0.1523809523809524,False,120,0.14832535885167464,False,110,0.10552763819095477,False,66,0.14838709677419354,False,55,0.2361111111111111,False,11,0.78,False
12,144,12,132,144,144,0.0,True,143,0.003484320557491289,False,132,0.043478260869565216,False,78,0.2972972972972973,False,66,0.37142857142857144,False,12,0.8461538461538461,False
13,233,13,156,169,169,0.15920398009950248,False,168,0.16209476309226933,False,156,0.19794344473007713,False,91,0.4382716049382716,False,78,0.4983922829581994,False,13,0.8943089430894309,False
14,377,14,182,196,196,0.3158813263525305,False,195,0.3181818181818182,False,182,0.3488372093023256,False,105,0.5643153526970954,False,91,0.6111111111111112,False,14,0.928388746803069,False
15,610,15,210,225,225,0.46107784431137727,False,224,0.4628297362110312,False,210,0.4878048780487805,False,120,0.6712328767123288,False,105,0.7062937062937062,False,15,0.952,False
16,987,16,240,256,256,0.588093322606597,False,255,0.5893719806763285,False,240,0.60880195599022,False,136,0.7577916295636687,False,120,0.7831978319783198,False,16,0.9680957128614157,False
17,1597,17,272,289,289,0.6935312831389183,False,288,0.6944297082228117,False,272,0.7089352594970573,False,153,0.8251428571428572,False,136,0.8430467397576457,False,17,0.9789343246592317,False
18,2584,18,306,324,324,0.7771664374140302,False,323,0.7777777777777778,False,306,0.788235294117647,False,171,0.8758620689655172,False,153,0.8881987577639752,False,18,0.9861644888547272,False
19,4181,19,342,361,361,0.841039189784236,False,360,0.8414446157234089,False,342,0.8487729383152774,False,190,0.9130633722260353,False,171,0.9214154411764706,False,19,0.9909523809523809,False
20,6765,20,380,400,400,0.8883461270062806,False,399,0.8886097152428811,False,380,0.893631910426872,False,210,0.9397849462365592,False,190,0.9453630481667865,False,20,0.9941046425939573,False
21,10946,21,420,441,441,0.9225432510757882,False,440,0.9227121025821184,False,420,0.9260953721625902,False,231,0.9586651158629328,False,210,0.9623520975259949,False,21,0.9961703291693261,False
22,17711,22,462,484,484,0.9467985710359988,False,483,0.9469055732659118,False,462,0.9491553403400649,False,253,0.9718325539968826,False,231,0.9742503622784527,False,22,0.9975187503524502,False
23,28657,23,506,529,529,0.963749743027479,False,528,0.9638170292958712,False,506,0.9652984946679011,False,276,0.9809214391870874,False,253,0.9824974057419578,False,23,0.9983960948396094,False
24,46368,24,552,576,576,0.9754601226993865,False,575,0.9755022048015679,False,552,0.9764705882352941,False,300,0.9871432244793006,False,276,0.9881656804733728,False,24,0.9989653388515262,False
25,75025,25,600,625,625,0.9834765366820886,False,624,0.9835027561501144,False,600,0.9841322314049586,False,325,0.9913735899137359,False,300,0.9920345170925987,False,25,0.9993337774816788,False
26,121393,26,650,676,676,0.9889242969140404,False,675,0.9889405904905463,False,650,0.9893480166826446,False,351,0.9942338020764884,False,325,0.9946597873773805,False,26,0.9995717309482042,False
27,196418,27,702,729,729,0.9926045032387001,False,728,0.9926146104917168,False,702,0.9928774350649351,False,378,0.9961584585052542,False,351,0.9964323648542199,False,27,0.9997251138995648,False
28,317811,28,756,784,784,0.9950783910607511,False,783,0.9950846531949754,False,756,0.9952537456798727,False,406,0.9974482821470884,False,378,0.9976240536285038,False,28,0.999823810168041,False
29,514229,29,812,841,841,0.9967344244471625,False,840,0.9967383010819909,False,812,0.9968468529689869,False,435,0.9983095767335582,False,406,0.9984221827120192,False,29,0.9998872161444256,False
30,832040,30,870,900,900,0.9978389799985593,False,899,0.9978413785403253,False,870,0.9979109387568885,False,465,0.9988828895922547,False,435,0.9989549235712785,False,30,0.9999278906822743,False
