shift_index_a,phase_index_b,category,category_code
0,0,identity,0
0,1,pure_phase,2
0,2,pure_phase,2
0,3,pure_phase,2
0,4,pure_phase,2
0,5,pure_phase,2
0,6,pure_phase,2
0,7,pure_phase,2
0,8,pure_phase,2
0,9,pure_phase,2
0,10,pure_phase,2
0,11,pure_phase,2
1,0,pure_shift,1
1,1,mixed_phase_shift,3
1,2,mixed_phase_shift,3
1,3,mixed_phase_shift,3
1,4,mixed_phase_shift,3
1,5,mixed_phase_shift,3
1,6,mixed_phase_shift,3
1,7,mixed_phase_shift,3
1,8,mixed_phase_shift,3
1,9,mixed_phase_shift,3
1,10,mixed_phase_shift,3
1,11,mixed_phase_shift,3
2,0,pure_shift,1
2,1,mixed_phase_shift,3
2,2,mixed_phase_shift,3
2,3,mixed_phase_shift,3
2,4,mixed_phase_shift,3
2,5,mixed_phase_shift,3
2,6,mixed_phase_shift,3
2,7,mixed_phase_shift,3
2,8,mixed_phase_shift,3
2,9,mixed_phase_shift,3
2,10,mixed_phase_shift,3
2,11,mixed_phase_shift,3
3,0,pure_shift,1
3,1,mixed_phase_shift,3
3,2,mixed_phase_shift,3
3,3,mixed_phase_shift,3
3,4,mixed_phase_shift,3
3,5,mixed_phase_shift,3
3,6,mixed_phase_shift,3
3,7,mixed_phase_shift,3
3,8,mixed_phase_shift,3
3,9,mixed_phase_shift,3
3,10,mixed_phase_shift,3
3,11,mixed_phase_shift,3
4,0,pure_shift,1
4,1,mixed_phase_shift,3
4,2,mixed_phase_shift,3
4,3,mixed_phase_shift,3
4,4,mixed_phase_shift,3
4,5,mixed_phase_shift,3
4,6,mixed_phase_shift,3
4,7,mixed_phase_shift,3
4,8,mixed_phase_shift,3
4,9,mixed_phase_shift,3
4,10,mixed_phase_shift,3
4,11,mixed_phase_shift,3
5,0,pure_shift,1
5,1,mixed_phase_shift,3
5,2,mixed_phase_shift,3
5,3,mixed_phase_shift,3
5,4,mixed_phase_shift,3
5,5,mixed_phase_shift,3
5,6,mixed_phase_shift,3
5,7,mixed_phase_shift,3
5,8,mixed_phase_shift,3
5,9,mixed_phase_shift,3
5,10,mixed_phase_shift,3
5,11,mixed_phase_shift,3
6,0,pure_shift,1
6,1,mixed_phase_shift,3
6,2,mixed_phase_shift,3
6,3,mixed_phase_shift,3
6,4,mixed_phase_shift,3
6,5,mixed_phase_shift,3
6,6,mixed_phase_shift,3
6,7,mixed_phase_shift,3
6,8,mixed_phase_shift,3
6,9,mixed_phase_shift,3
6,10,mixed_phase_shift,3
6,11,mixed_phase_shift,3
7,0,pure_shift,1
7,1,mixed_phase_shift,3
7,2,mixed_phase_shift,3
7,3,mixed_phase_shift,3
7,4,mixed_phase_shift,3
7,5,mixed_phase_shift,3
7,6,mixed_phase_shift,3
7,7,mixed_phase_shift,3
7,8,mixed_phase_shift,3
7,9,mixed_phase_shift,3
7,10,mixed_phase_shift,3
7,11,mixed_phase_shift,3
8,0,pure_shift,1
8,1,mixed_phase_shift,3
8,2,mixed_phase_shift,3
8,3,mixed_phase_shift,3
8,4,mixed_phase_shift,3
8,5,mixed_phase_shift,3
8,6,mixed_phase_shift,3
8,7,mixed_phase_shift,3
8,8,mixed_phase_shift,3
8,9,mixed_phase_shift,3
8,10,mixed_phase_shift,3
8,11,mixed_phase_shift,3
9,0,pure_shift,1
9,1,mixed_phase_shift,3
9,2,mixed_phase_shift,3
9,3,mixed_phase_shift,3
9,4,mixed_phase_shift,3
9,5,mixed_phase_shift,3
9,6,mixed_phase_shift,3
9,7,mixed_phase_shift,3
9,8,mixed_phase_shift,3
9,9,mixed_phase_shift,3
9,10,mixed_phase_shift,3
9,11,mixed_phase_shift,3
10,0,pure_shift,1
10,1,mixed_phase_shift,3
10,2,mixed_phase_shift,3
10,3,mixed_phase_shift,3
10,4,mixed_phase_shift,3
10,5,mixed_phase_shift,3
10,6,mixed_phase_shift,3
10,7,mixed_phase_shift,3
10,8,mixed_phase_shift,3
10,9,mixed_phase_shift,3
10,10,mixed_phase_shift,3
10,11,mixed_phase_shift,3
11,0,pure_shift,1
11,1,mixed_phase_shift,3
11,2,mixed_phase_shift,3
11,3,mixed_phase_shift,3
11,4,mixed_phase_shift,3
11,5,mixed_phase_shift,3
11,6,mixed_phase_shift,3
11,7,mixed_phase_shift,3
11,8,mixed_phase_shift,3
11,9,mixed_phase_shift,3
11,10,mixed_phase_shift,3
11,11,mixed_phase_shift,3
