k,off_diagonal_inverse_pairs_tested,products_generating_self_relation,self_relation_regeneration_fraction,maximum_matrix_unit_error
2,2,2,1.0,0.0
3,6,6,1.0,0.0
4,12,12,1.0,0.0
5,20,20,1.0,0.0
6,30,30,1.0,0.0
7,42,42,1.0,0.0
8,56,56,1.0,0.0
9,72,72,1.0,0.0
10,90,90,1.0,0.0
11,110,110,1.0,0.0
12,132,132,1.0,0.0
13,156,156,1.0,0.0
14,182,182,1.0,0.0
15,210,210,1.0,0.0
16,240,240,1.0,0.0
17,272,272,1.0,0.0
18,306,306,1.0,0.0
19,342,342,1.0,0.0
20,380,380,1.0,0.0
21,420,420,1.0,0.0
22,462,462,1.0,0.0
23,506,506,1.0,0.0
24,552,552,1.0,0.0
