k,nonidentity_elements_tested,products_regenerating_identity,identity_regeneration_fraction,maximum_identity_regeneration_error
2,3,3,1.0,3.463824224941973e-16
3,8,8,1.0,2.5310893636949487e-15
4,15,15,1.0,1.8813381107823187e-15
5,24,24,1.0,1.6773188315764163e-15
6,35,35,1.0,1.4895204919483637e-14
7,48,48,1.0,1.372686500199609e-14
8,63,63,1.0,2.4164636003601746e-14
9,80,80,1.0,2.3534633268404733e-14
10,99,99,1.0,1.9080661249315785e-14
11,120,120,1.0,1.5790654112353013e-14
12,143,143,1.0,5.952007005943009e-14
13,168,168,1.0,4.1535660176854705e-14
14,195,195,1.0,4.13167078431351e-14
15,224,224,1.0,7.988862792681501e-14
16,255,255,1.0,8.87200190844412e-14
17,288,288,1.0,3.271159149056346e-14
18,323,323,1.0,9.540878087042282e-14
19,360,360,1.0,1.2676638362918667e-13
20,399,399,1.0,1.4265225358282697e-13
21,440,440,1.0,1.5478671118921964e-13
22,483,483,1.0,1.1745051161590257e-13
23,528,528,1.0,2.2105047849396032e-13
24,575,575,1.0,1.7817955452198353e-13
