k,k_squared,weyl_basis_count,numerical_span_rank,weyl_relation_error,maximum_orthogonality_error,maximum_nonidentity_trace
2,4,4,4,2.4492935982947064e-16,6.123233995736766e-17,1.2246467991473532e-16
3,9,9,9,6.740105962128839e-16,2.3696319859777817e-16,7.108895957933346e-16
4,16,16,16,2.4492935982947064e-16,1.3877787807814457e-16,5.551115123125783e-16
5,25,25,25,2.054026739179923e-16,3.330902373593781e-16,5.117875266520903e-16
6,36,36,36,9.146671665975724e-16,8.262691849897772e-16,4.957615109938664e-15
7,49,49,49,7.230212181650778e-16,1.7763600628681822e-15,4.095805194048e-15
8,64,64,64,7.406111315403549e-16,1.028268223504253e-15,8.226145788034024e-15
9,81,81,81,6.79595779198818e-16,4.218847543814132e-15,8.326672684688674e-15
10,100,100,100,5.32143479657954e-16,3.552713691867596e-15,5.82523346108528e-15
11,121,121,121,4.794711213630663e-16,8.881905844996378e-16,5.444622457435257e-15
12,144,144,144,1.2250243314589854e-15,1.9784759323986327e-15,2.3741711188783593e-14
13,169,169,169,6.933597071711371e-16,1.776357661958029e-15,1.7255398268433755e-14
14,196,196,196,7.251642176655189e-16,4.218847553087729e-15,1.915770174509656e-14
15,225,225,225,9.896869665500538e-16,1.1990408814289081e-14,2.9727452448432886e-14
16,256,256,256,8.54583310691029e-16,2.1123262704382186e-15,3.37972203270115e-14
17,289,289,289,6.148732551139681e-16,3.3306690753206293e-15,1.5750402670301197e-14
18,324,324,324,1.0295292628099396e-15,1.465494409532459e-14,4.99194656554221e-14
19,361,361,361,8.187701001320011e-16,1.1657341940658147e-14,3.781707108510428e-14
20,400,400,400,1.3855565555274878e-15,2.220446049250313e-14,8.480610642977942e-14
21,441,441,441,1.2019514829780204e-15,2.1205259770462997e-14,7.505577752069425e-14
22,484,484,484,1.2839042134483527e-15,2.1316282073401344e-14,9.81195989725984e-14
23,529,529,529,1.4650543497989423e-15,2.4757973457633312e-14,1.1379619467735606e-13
24,576,576,576,1.2462222543165673e-15,4.415865656148059e-15,1.0598077574755342e-13
