k,fourier_unitarity_error,Fdag_Z_F_minus_X_error,Fdag_X_F_minus_Zinv_error
2,3.2727258999107884e-16,3.4943518138001985e-16,3.4943518138001985e-16
3,5.902190249889093e-16,7.639863827611418e-16,8.477413193739592e-16
4,2.541105595495913e-16,4.49825367672727e-16,4.40426341317789e-16
5,7.514198773596764e-16,8.093301419271731e-16,6.836242155839289e-16
6,2.5439789138264824e-15,3.4082461358679135e-15,3.191052753250502e-15
7,3.534099601217831e-15,4.015419802621415e-15,3.5219561529690954e-15
8,2.2708033613868896e-15,3.811908393113956e-15,3.76655119276269e-15
9,8.370833040059974e-15,9.324220019016902e-15,7.568302842887948e-15
10,9.1068062193143e-15,9.372158591363516e-15,8.008603256130788e-15
11,3.4879860062067048e-15,3.845042280369113e-15,3.693337903484928e-15
12,8.184906966150612e-15,1.0089031551103076e-14,9.595304559380927e-15
13,5.0408456802177554e-15,6.1590206222008875e-15,6.002720231514254e-15
14,1.0548962465284827e-14,1.1564044326109306e-14,1.0259355091332572e-14
15,3.033560740882158e-14,3.181190817357992e-14,2.8039251359164286e-14
16,1.1326599873696606e-14,1.262247134862758e-14,1.2553090084330856e-14
17,9.400762721707368e-15,9.817579569569569e-15,9.311775386267239e-15
18,3.4104958624168e-14,3.5295257778040795e-14,3.16747504995603e-14
19,4.8186733357325745e-14,4.9027613393326313e-14,4.673570346609938e-14
20,5.502433575533705e-14,5.700887644909662e-14,5.173460743794803e-14
21,6.881674926003337e-14,7.042422157411086e-14,6.566842670983495e-14
22,4.398703213545961e-14,4.596913035130817e-14,4.114979208683401e-14
23,7.713893103221675e-14,7.990266480943632e-14,7.435662285068372e-14
24,3.705333146455414e-14,3.784674638572765e-14,3.735094367350497e-14
