k,cycle_closure_error,gauge_to_shift_error,gauge_phase_commutator_error,dressed_weyl_relation_error,total_traversal_phase,trial,seed
2,9.740555302989509e-18,9.740555302989509e-18,0.0,2.498001805406602e-16,0.0,0,2701209260
2,1.662786919290152e-17,1.662786919290152e-17,0.0,2.220446049250313e-16,0.0,1,4010656306
2,1.2318634402498117e-17,1.2318634402498117e-17,0.0,3.1401849173675503e-16,0.0,2,3295050567
2,3.204246043606132e-17,3.204246043606132e-17,0.0,3.1401849173675503e-16,0.0,3,1362969142
2,3.8347369892990866e-17,3.8347369892990866e-17,0.0,3.1401849173675503e-16,0.0,4,1441632273
2,3.8163497347076983e-17,3.8163497347076983e-17,0.0,3.1401849173675503e-16,0.0,5,1015070325
2,2.2711524546153896e-18,2.2711524546153896e-18,0.0,2.498001805406602e-16,0.0,6,3400989060
2,1.5779733497260166e-16,1.5779733497260166e-16,0.0,3.1401849173675503e-16,0.0,7,1984107115
2,1.5712542691846006e-16,1.5712542691846006e-16,0.0,2.498001805406602e-16,0.0,8,3511629855
2,3.810023809253185e-18,3.810023809253185e-18,0.0,3.1401849173675503e-16,0.0,9,3590493348
2,2.9150714547828026e-17,2.9150714547828026e-17,0.0,3.1401849173675503e-16,0.0,10,3771438344
2,1.571010530911626e-16,1.571010530911626e-16,0.0,2.220446049250313e-16,0.0,11,552255834
2,2.9176120954098273e-18,2.9176120954098273e-18,0.0,2.498001805406602e-16,0.0,12,1615594164
2,5.932532022533712e-18,5.932532022533712e-18,0.0,2.498001805406602e-16,0.0,13,2361778436
2,9.931513472360297e-19,9.931513472360297e-19,0.0,2.220446049250313e-16,0.0,14,2075556818
2,3.835202395232124e-18,3.835202395232124e-18,0.0,2.498001805406602e-16,0.0,15,1735206745
2,3.1216486019663805e-18,3.1216486019663805e-18,0.0,2.498001805406602e-16,0.0,16,3039935012
2,2.2633469114261366e-17,2.2633469114261366e-17,0.0,2.220446049250313e-16,0.0,17,1245093684
2,3.1574178765404325e-20,3.1574178765404325e-20,0.0,2.4492127076447545e-16,0.0,18,3167400704
2,3.5849363741322934e-17,3.5849363741322934e-17,0.0,2.220446049250313e-16,0.0,19,3384311038
2,1.588934200314557e-16,1.588934200314557e-16,0.0,2.220446049250313e-16,0.0,20,4071307470
2,3.3044939266516675e-17,3.3044939266516675e-17,0.0,3.1401849173675503e-16,0.0,21,595856757
2,1.55266951712074e-17,1.55266951712074e-17,0.0,3.1401849173675503e-16,0.0,22,2579004220
2,1.5890425427992397e-16,1.5890425427992397e-16,0.0,3.1401849173675503e-16,0.0,23,4838412
2,1.395320854704456e-17,1.395320854704456e-17,0.0,3.1401849173675503e-16,0.0,24,4252815233
2,5.917547012782852e-18,5.917547012782852e-18,0.0,2.220446049250313e-16,0.0,25,3386860298
2,1.5934613726446176e-16,1.5934613726446176e-16,0.0,3.1401849173675503e-16,0.0,26,2764302327
2,1.5807483808111963e-16,1.5807483808111963e-16,0.0,2.220446049250313e-16,0.0,27,4022158671
2,4.841244074172121e-20,4.841244074172121e-20,0.0,2.445960101127298e-16,0.0,28,2392854551
2,2.978520644380005e-17,2.978520644380005e-17,0.0,2.220446049250313e-16,0.0,29,1310660778
2,3.8110986235851986e-18,3.8110986235851986e-18,0.0,2.220446049250313e-16,0.0,30,149775536
2,1.5707016398897166e-16,1.5707016398897166e-16,0.0,2.220446049250313e-16,0.0,31,2978882145
2,3.157234899425222e-16,3.157234899425222e-16,0.0,3.1401849173675503e-16,0.0,32,2831306301
2,9.164665233065566e-19,9.164665233065566e-19,0.0,3.1401849173675503e-16,0.0,33,3473554662
2,3.914488059701323e-17,3.914488059701323e-17,0.0,3.1401849173675503e-16,0.0,34,1061183079
2,1.5707639398338003e-16,1.5707639398338003e-16,0.0,2.220446049250313e-16,0.0,35,3335642836
2,3.0634476542191875e-18,3.0634476542191875e-18,0.0,2.220446049250313e-16,0.0,36,2053685409
2,5.8928465467174795e-18,5.8928465467174795e-18,0.0,2.498001805406602e-16,0.0,37,1884702339
2,1.1808514455489616e-17,1.1808514455489616e-17,0.0,2.220446049250313e-16,0.0,38,4073630591
2,3.473368444402388e-17,3.473368444402388e-17,0.0,3.1401849173675503e-16,0.0,39,2251709218
2,2.430559686295145e-17,2.430559686295145e-17,0.0,3.1401849173675503e-16,0.0,40,3977441032
2,1.9363175969670413e-17,1.9363175969670413e-17,0.0,2.220446049250313e-16,0.0,41,1231427289
2,3.604671108127867e-18,3.604671108127867e-18,0.0,2.498001805406602e-16,0.0,42,826730487
2,2.1352610835153666e-17,2.1352610835153666e-17,0.0,2.220446049250313e-16,0.0,43,2794730940
2,1.6330069969389274e-17,1.6330069969389274e-17,0.0,3.1401849173675503e-16,0.0,44,3245354519
2,1.3964702564909503e-17,1.3964702564909503e-17,0.0,2.220446049250313e-16,0.0,45,511242436
2,1.7061591012194821e-18,1.7061591012194821e-18,0.0,2.220446049250313e-16,0.0,46,755938515
2,1.571211617359568e-16,1.571211617359568e-16,0.0,3.1401849173675503e-16,0.0,47,2725090907
2,2.1489917294433165e-19,2.1489917294433165e-19,0.0,3.1401849173675503e-16,0.0,48,2458104443
2,1.588464709339863e-16,1.588464709339863e-16,0.0,2.220446049250313e-16,0.0,49,1142885720
2,1.5811945924226892e-16,1.5811945924226892e-16,0.0,3.1401849173675503e-16,0.0,50,2838763935
2,1.57045763359667e-16,1.57045763359667e-16,0.0,2.220446049250313e-16,0.0,51,3978754311
2,1.5701217445639944e-16,1.5701217445639944e-16,0.0,2.498001805406602e-16,0.0,52,2182218066
2,3.34623147673698e-17,3.34623147673698e-17,0.0,2.220446049250313e-16,0.0,53,2622486756
2,3.4070658799703534e-17,3.4070658799703534e-17,0.0,2.220446049250313e-16,0.0,54,1193251648
2,1.2699623019736996e-17,1.2699623019736996e-17,0.0,3.1401849173675503e-16,0.0,55,1160800593
2,1.5810949325237667e-16,1.5810949325237667e-16,0.0,2.220446049250313e-16,0.0,56,3240531131
2,1.5838070611042972e-16,1.5838070611042972e-16,0.0,3.1401849173675503e-16,0.0,57,3620219805
2,2.921523495553755e-17,2.921523495553755e-17,0.0,3.1401849173675503e-16,0.0,58,1163353233
2,2.778517863160882e-17,2.778517863160882e-17,0.0,2.220446049250313e-16,0.0,59,477979371
2,1.0769726868347985e-18,1.0769726868347985e-18,0.0,2.220446049250313e-16,0.0,60,887064005
2,1.5601761487273667e-17,1.5601761487273667e-17,0.0,2.220446049250313e-16,0.0,61,1627691661
2,3.307563420252805e-17,3.307563420252805e-17,0.0,3.1401849173675503e-16,0.0,62,2031335522
2,9.557377546507872e-18,9.557377546507872e-18,0.0,2.498001805406602e-16,0.0,63,3117965434
2,1.61528449051016e-16,1.61528449051016e-16,0.0,2.220446049250313e-16,0.0,64,3962312576
2,3.5929261074411e-17,3.5929261074411e-17,0.0,2.220446049250313e-16,0.0,65,1619762751
2,2.905452817030161e-17,2.905452817030161e-17,0.0,2.220446049250313e-16,0.0,66,2175293617
2,2.7108316301936065e-17,2.7108316301936065e-17,0.0,2.220446049250313e-16,0.0,67,827611460
2,5.737374085185066e-18,5.737374085185066e-18,0.0,2.220446049250313e-16,0.0,68,320210288
2,1.5195279148240036e-17,1.5195279148240036e-17,0.0,2.220446049250313e-16,0.0,69,2595991422
2,4.520456813149119e-19,4.520456813149119e-19,0.0,2.42861286636753e-16,0.0,70,1267242283
