k,phase_power,phase_only_occupation_change_L1,shift_permutation_error_L1,seed
2,0,0.0,0.0,3027417966
3,1,5.551115123125783e-17,0.0,1564647406
4,2,0.0,0.0,1996756373
5,2,5.551115123125783e-17,0.0,898806091
6,3,5.273559366969494e-16,0.0,517116641
7,1,2.740863092043355e-16,0.0,2613818874
8,2,6.938893903907228e-17,0.0,1507710204
9,3,1.6479873021779667e-15,0.0,1232766107
10,2,9.020562075079397e-16,0.0,2032264242
11,4,5.648151217563235e-16,0.0,3148161595
12,4,6.72639027810007e-16,0.0,1183072854
13,10,1.2698175844150228e-15,0.0,681638653
14,10,3.995068165174587e-15,0.0,1595236348
15,0,0.0,0.0,1171105544
16,3,2.467644144577008e-16,0.0,3377914415
17,11,3.469446951953614e-15,0.0,2523527899
18,8,7.0915495697931874e-15,0.0,4238974744
19,3,1.6633287629186366e-15,0.0,3193826739
20,14,1.662038562333379e-14,0.0,757515354
21,19,2.374836438612249e-14,0.0,1066641731
22,0,0.0,0.0,2582299015
23,7,8.279401469968306e-15,0.0,280824778
24,0,0.0,0.0,1159525838
