k,r,gcd_k_r,orbit_length,primitive_recurrence,transitive_full_cycle,modular_inverse_s,r_times_s_mod_k,U_power_recovers_X
2,1,1,2,True,True,1.0,1.0,True
3,1,1,3,True,True,1.0,1.0,True
3,2,1,3,True,True,2.0,1.0,True
4,1,1,4,True,True,1.0,1.0,True
4,2,2,2,False,False,,,False
4,3,1,4,True,True,3.0,1.0,True
5,1,1,5,True,True,1.0,1.0,True
5,2,1,5,True,True,3.0,1.0,True
5,3,1,5,True,True,2.0,1.0,True
5,4,1,5,True,True,4.0,1.0,True
6,1,1,6,True,True,1.0,1.0,True
6,2,2,3,False,False,,,False
6,3,3,2,False,False,,,False
6,4,2,3,False,False,,,False
6,5,1,6,True,True,5.0,1.0,True
7,1,1,7,True,True,1.0,1.0,True
7,2,1,7,True,True,4.0,1.0,True
7,3,1,7,True,True,5.0,1.0,True
7,4,1,7,True,True,2.0,1.0,True
7,5,1,7,True,True,3.0,1.0,True
7,6,1,7,True,True,6.0,1.0,True
8,1,1,8,True,True,1.0,1.0,True
8,2,2,4,False,False,,,False
8,3,1,8,True,True,3.0,1.0,True
8,4,4,2,False,False,,,False
8,5,1,8,True,True,5.0,1.0,True
8,6,2,4,False,False,,,False
8,7,1,8,True,True,7.0,1.0,True
9,1,1,9,True,True,1.0,1.0,True
9,2,1,9,True,True,5.0,1.0,True
9,3,3,3,False,False,,,False
9,4,1,9,True,True,7.0,1.0,True
9,5,1,9,True,True,2.0,1.0,True
9,6,3,3,False,False,,,False
9,7,1,9,True,True,4.0,1.0,True
9,8,1,9,True,True,8.0,1.0,True
10,1,1,10,True,True,1.0,1.0,True
10,2,2,5,False,False,,,False
10,3,1,10,True,True,7.0,1.0,True
10,4,2,5,False,False,,,False
10,5,5,2,False,False,,,False
10,6,2,5,False,False,,,False
10,7,1,10,True,True,3.0,1.0,True
10,8,2,5,False,False,,,False
10,9,1,10,True,True,9.0,1.0,True
11,1,1,11,True,True,1.0,1.0,True
11,2,1,11,True,True,6.0,1.0,True
11,3,1,11,True,True,4.0,1.0,True
11,4,1,11,True,True,3.0,1.0,True
11,5,1,11,True,True,9.0,1.0,True
11,6,1,11,True,True,2.0,1.0,True
11,7,1,11,True,True,8.0,1.0,True
11,8,1,11,True,True,7.0,1.0,True
11,9,1,11,True,True,5.0,1.0,True
11,10,1,11,True,True,10.0,1.0,True
12,1,1,12,True,True,1.0,1.0,True
12,2,2,6,False,False,,,False
12,3,3,4,False,False,,,False
12,4,4,3,False,False,,,False
12,5,1,12,True,True,5.0,1.0,True
