k,primitive_generator_count,euler_totient_phi_k,minimum_phase_traversal_span_rank,expected_full_operator_dimension,maximum_Weyl_relation_error,maximum_U_inverse_power_recovers_X_error,maximum_sampled_HS_orthogonality_error
2,1,1,4,4,2.4492935982947064e-16,0.0,6.123233995736766e-17
3,2,2,9,9,8.905238419837194e-16,0.0,2.221237908982249e-16
4,2,2,16,16,4.242300954899627e-16,0.0,6.206335383118183e-17
5,4,4,25,25,3.764949453935611e-16,0.0,3.330902373593781e-16
6,2,2,36,36,2.0118975583840293e-15,0.0,4.440931153303725e-16
7,6,6,49,49,1.6523311681268211e-15,0.0,1.7763600628681822e-15
8,4,4,64,64,2.0918204592287075e-15,0.0,1.5823112613210482e-16
9,6,6,81,81,2.087580963258536e-15,0.0,4.218847543814132e-15
10,4,4,100,100,1.457101633618084e-15,0.0,3.552713691867596e-15
11,10,10,121,121,1.2225062931717345e-15,0.0,8.881905844996378e-16
12,4,4,144,144,3.912256440218898e-15,0.0,1.7763568394002505e-15
13,12,12,169,169,2.3737508795772433e-15,0.0,1.776357661958029e-15
14,6,6,196,196,2.208095162625634e-15,0.0,4.218847553087729e-15
15,8,8,225,225,3.787390424262612e-15,0.0,1.1990408814289081e-14
16,8,8,256,256,3.2962594519022664e-15,0.0,3.3306690738754696e-16
