k,defect_D,blocked_target_probability,causal_effect_on_target,relative_causal_effect
3,1.5040773967762742,0.41547589911577054,0.06477677444708668,0.13488061183819408
4,1.6739764335716716,0.3934038842322507,0.08684878933060652,0.18083978312145604
5,1.6094379124341003,0.3857674759612417,0.0944851976016155,0.1967405967793096
6,1.5040773967762742,0.3863635473697808,0.09388912619307643,0.1954994346966147
7,1.3268709406490897,0.38797857807465647,0.09227409548820076,0.19213655762423068
8,1.114360645636249,0.38620386521251615,0.09404880835034107,0.19583193083053524
9,0.8680886300562775,0.3777311380837171,0.10252153547914011,0.2134741587559777
10,0.5978370007556204,0.3655697847686923,0.11468288879416494,0.2387969814792813
11,0.30715417586460125,0.37407795579775044,0.10617471776510679,0.22108095094489932
13,0.32113973864262707,0.35344815175794436,0.12680452180491286,0.26403709710595963
14,0.6541305282174936,0.3731595614492891,0.10709311211356815,0.22299326585539853
15,0.9973585549629369,0.4115319422116859,0.06872073135117135,0.14309286576449828
16,1.3494925949539192,0.44181837416941616,0.03843429939344106,0.08002932937011675
17,1.7094554601025802,0.46046298085400383,0.01978969270885339,0.04120683506463237
18,2.076350349110163,0.47055499429108527,0.009697679271771953,0.02019286889092703
19,2.449427773023684,0.47564052353483854,0.00461215002801868,0.009603590530381555
20,2.8280529934969065,0.4781006217380337,0.002152051824823531,0.0044810824453262775
21,3.2116844962570177,0.4792617283127735,0.0009909452500836968,0.0020633830994258866
22,3.5998562877400007,0.4798009500474623,0.0004517235153949084,0.0009405955245260809
23,3.992164588539069,0.4800484490597259,0.000204224503131345,0.0004252438651018053
24,4.388257184424518,0.48016100082309654,9.167273976068424e-05,0.00019088439233578942
25,4.787825020572167,0.48021178520288893,4.08883599682941e-05,8.513926568061568e-05
26,5.190595419276104,0.4802345421037181,1.8131459139147932e-05,3.7753999378360194e-05
27,5.596326588388768,0.48024467636665286,7.997196204367896e-06,1.6652059727307677e-05
28,6.004803125099459,0.48024916376171,3.5098011472167734e-06,7.308238642751455e-06
29,6.415832310539258,0.4802511403125227,1.5332503345288906e-06,3.19259094000278e-06
30,6.829241032246454,0.4802520066698749,6.668929823372416e-07,1.3886294008313443e-06
31,7.244873211660474,0.4802523846889502,2.888739070172619e-07,6.015040059520939e-07
32,7.662587640090765,0.48025254895000546,1.246128517595757e-07,2.5947352012662125e-07
33,8.082256147816919,0.4802526200938905,5.346896669866652e-08,1.1133507347704189e-07
34,8.503762046577139,0.48025265091491415,2.2647943076492538e-08,4.71583904124342e-08
35,8.926998797890246,0.4802526645091082,9.053749028264946e-09,1.885205335994857e-08
