k,defect_D,initial_transient_probability,expected_residence_time,expected_throughflow,long_time_transient_occupancy,commitment_hazard,final_absorption_probability,transition_boundary_footprint,absorption_boundary_footprint,total_boundary_footprint,maximum_induced_transition,maximum_induced_absorption,absorption_statistics_preservation_error,causal_effect_on_target,relative_causal_effect
2,1.3862943611198906,0.5,4.071104494164369,6.762963503825182,1.1042313328408724e-19,0.00625,0.025444403088527308,1.1171450737005433,0.007854926299456947,1.1171726883345126,1.1171450737005433,0.007854926299456947,4.434033644291502e-15,,
3,1.5040773967762742,0.0,2.794847958628314,11.018515555413202,8.376544063645615e-20,0.004938271604938271,0.013801718314213892,1.055553383635013,0.0037067443924631445,1.0555598920275988,0.6755541655264083,0.002965395513970516,4.601672200040853e-15,0.06477677444708668,0.13488061183819408
4,1.6739764335716716,0.0,1.6009304792304775,7.215744799898491,5.3727863543743864e-20,0.003515625,0.005628271216044648,0.891699969850729,0.001966055595399336,0.8917021372669212,0.4926519170446016,0.001461357615256814,4.393185481282363e-15,0.08684878933060652,0.18083978312145604
5,1.6094379124341003,0.0,1.3360358084956034,5.4793797474868,5.147406919523718e-20,0.004000000000000001,0.005344143233982415,0.9884654595321227,0.0027197126368636157,0.9884692011008122,0.5774036683176804,0.0020786532059436503,4.525182012730133e-15,0.0944851976016155,0.1967405967793096
6,1.5040773967762742,0.0,1.1496697416828305,4.820212707834634,5.1331699665999934e-20,0.004938271604938271,0.005677381440409038,0.991214542821947,0.0032739383150988807,0.9912199496447862,0.6320376461549542,0.0026143163162682483,4.545512324755344e-15,0.09388912619307643,0.1954994346966147
7,1.3268709406490897,0.0,1.108468521613896,4.606584679187285,5.778405398831409e-20,0.007038733860891298,0.007802214916815847,1.0347775105424286,0.004876088523870884,1.0347889990542414,0.7094000087148277,0.004037324763263709,4.9897543660930325e-15,0.09227409548820076,0.19213655762423068
8,1.114360645636249,0.0,1.1559288213451933,4.839140640958368,6.997455758957208e-20,0.010766601562499999,0.01244542505403394,1.0551009448522908,0.007506423396834749,1.0551276464108073,0.7539177595541213,0.006345239774700479,4.820420307136901e-15,0.09404880835034107,0.19583193083053524
9,0.8680886300562775,0.0,1.3494303631572224,5.669802533379665,9.26944322968181e-20,0.017619265355890867,0.02377597164776328,1.0773400972373035,0.012440982567371753,1.0774119282625956,0.7945450549278045,0.010684089908854132,4.561343445979734e-15,0.10252153547914011,0.2134741587559777
10,0.5978370007556204,0.0,1.7925743302566923,7.584929714047916,1.338693636561625e-19,0.030250000000000006,0.05422537349026496,1.090205069412309,0.02141774880217453,1.0904154315379304,0.8223800756325568,0.018601844601221763,4.731944557958477e-15,0.11468288879416494,0.2387969814792813
11,0.30715417586460125,0.0,2.7434559283356323,11.71101292015474,2.1157068245961685e-19,0.05410149579946725,0.14842506938287375,1.0956678477005768,0.038203571079452776,1.0963336833866035,0.8412037218430531,0.033474576748075587,4.567614770011348e-15,0.10617471776510679,0.22108095094489932
