k,transition_boundary_footprint,absorption_boundary_footprint,total_boundary_footprint,maximum_induced_transition,maximum_induced_absorption,absorption_statistics_preservation_error
2,1.1171450737005433,0.007854926299456947,1.1171726883345126,1.1171450737005433,0.007854926299456947,4.434033644291502e-15
3,1.055553383635013,0.0037067443924631445,1.0555598920275988,0.6755541655264083,0.002965395513970516,4.601672200040853e-15
4,0.891699969850729,0.001966055595399336,0.8917021372669212,0.4926519170446016,0.001461357615256814,4.393185481282363e-15
5,0.9884654595321227,0.0027197126368636157,0.9884692011008122,0.5774036683176804,0.0020786532059436503,4.525182012730133e-15
6,0.991214542821947,0.0032739383150988807,0.9912199496447862,0.6320376461549542,0.0026143163162682483,4.545512324755344e-15
7,1.0347775105424286,0.004876088523870884,1.0347889990542414,0.7094000087148277,0.004037324763263709,4.9897543660930325e-15
8,1.0551009448522908,0.007506423396834749,1.0551276464108073,0.7539177595541213,0.006345239774700479,4.820420307136901e-15
9,1.0773400972373035,0.012440982567371753,1.0774119282625956,0.7945450549278045,0.010684089908854132,4.561343445979734e-15
10,1.090205069412309,0.02141774880217453,1.0904154315379304,0.8223800756325568,0.018601844601221763,4.731944557958477e-15
11,1.0956678477005768,0.038203571079452776,1.0963336833866035,0.8412037218430531,0.033474576748075587,4.567614770011348e-15
12,1.2814709711548302,0.1240523023586119,1.2874613872396237,0.6496959477326003,0.08832944907375802,7.83231035137226e-15
13,1.1374615954522693,0.038510371705454016,1.1381133203058973,0.8954348173587504,0.03416853259060592,2.298678518844686e-15
14,1.161061276796854,0.02005040213914391,1.1612343893904806,0.9224955380588707,0.01787218511519728,4.75289641958987e-15
15,1.1773270924551003,0.010168982540516612,1.1773710081510795,0.9426950117131447,0.009099437307165439,4.223869840584346e-15
16,1.1892033814114313,0.005050542995592379,1.1892141061831265,0.9584920171848833,0.004534237402044361,2.1930119164339943e-15
17,1.1984389813330902,0.0024652845201304074,1.198441516973799,0.9714182006891801,0.002219536050856542,4.72031348341466e-15
18,1.2060410839597016,0.0011857396494818861,1.2060416668495364,0.9823979107695456,0.0010701681123826984,4.208080394566725e-15
19,1.2125726695382186,0.0005630341623462662,1.2125728002551064,0.9919836488488691,0.0005092524367946103,5.44298663149506e-15
20,1.2183519942761418,0.00026433054626934363,1.2183520229503826,1.0005132738046987,0.00023953688171458805,4.992321272258264e-15
21,1.2235632179173137,0.00012284124515817742,1.2235632240837182,1.008201905027582,0.00011150767491995575,2.2393404825133686e-15
22,1.2283189368247955,5.656579893592487e-05,1.2283189381272626,1.0151946570160322,5.142484762208021e-05,7.328690594416938e-16
23,1.2326928563607116,2.5830897956333163e-05,1.2326928566313529,1.0215955568806308,2.351535621369336e-05,4.893894140461503e-15
24,1.2367371402175564,1.1706135406944525e-05,1.2367371402729577,1.0274835142445815,1.066994726526434e-05,1.0873093205601508e-15
25,1.2404913534238329,5.2680316310862e-06,1.2404913534350188,1.0329211408007137,4.807121359101648e-06,1.912106956940418e-15
26,1.2439871991250775,2.355501379601597e-06,1.2439871991273075,1.0379597942218646,2.1516204971006254e-06,1.454409936269675e-15
27,1.2472510630425466,1.0469606280459242e-06,1.247251063042986,1.0426425824277001,9.57240659925926e-07,2.1337539732146102e-15
28,1.2503054605445576,4.6278350868042674e-07,1.2503054605446433,1.0470062672684441,4.234912593681976e-07,3.113668978592367e-15
29,1.2531699115234078,2.0351412001843717e-07,1.2531699115234245,1.051082548127808,1.8638372173809911e-07,1.0207716240922752e-15
30,1.2558615148949228,8.90700701153707e-08,1.255861514894926,1.0548989819580439,8.163311236095472e-08,9.973177736178165e-16
31,1.258395354976723,3.8808435671110354e-08,1.2583953549767237,1.058479675762068,3.5592528834902054e-08,8.358287293259339e-16
32,1.260784808264656,1.683841024816459e-08,1.260784808264656,1.061845827713759,1.5452947718355582e-08,4.653081136871999e-16
33,1.263041785906345,7.277274361986671e-09,1.263041785906345,1.0650161612230893,6.682484934087174e-09,1.5901996070038199e-15
34,1.2651769315139734,3.13351074561214e-09,1.2651769315139734,1.068007279585153,2.8790066131096647e-09,2.639870312280891e-15
35,1.267199785810969,1.3445643490442082e-09,1.267199785810969,1.070833959487317,1.2360046771707423e-09,1.5733324561634409e-15
36,0.6538547338981682,3.221309507293564e-10,0.6538547338981682,0.6538547338981682,3.221309507293564e-10,1.560799155693069e-15
