result,formula,value,status
fundamental_closure_order,k=12,12.0,DCT exact conditional theorem
closure_capacity,C(12)=12^2,144.0,Exact DCT consequence
canonical_phase_increment,Delta_phi=2*pi/12,0.5235987755982988,Exact canonical primitive corollary
homogeneous_time_increment,Delta_t/T=1/12,0.08333333333333333,Exact if T is one homogeneous primitive recurrence
h_EDF_dimensionless,2*pi*ln2/12,0.3629310150506004,Exact after S0=ln2 and equal sector partition
hbar_EDF_dimensionless,ln2/12,0.057762265046662105,Exact dimensionless quantity; SI action needs calibration
primitive_generator_count,phi(12),4.0,Exact number-theoretic corollary
balanced_B3_word_length,len((sigma1 sigma2)^6),12.0,Exact conditional on the EDF braid bridge
T_3_6_component_count,"gcd(3,6)",3.0,Exact torus-link topology
total_pairwise_linking,sum_{pairs} Lk_ij,6.0,Exact for the positive closed braid beta=(sigma1 sigma2)^6
