k,r,gcd_k_r,number_orbits,orbit_length,predicted_dimension,computed_dimension,formula_verified
2,0,2,2,1,2,2,True
2,1,1,1,2,4,4,True
3,0,3,3,1,3,3,True
3,1,1,1,3,9,9,True
3,2,1,1,3,9,9,True
4,0,4,4,1,4,4,True
4,1,1,1,4,16,16,True
4,2,2,2,2,8,8,True
4,3,1,1,4,16,16,True
5,0,5,5,1,5,5,True
5,1,1,1,5,25,25,True
5,2,1,1,5,25,25,True
5,3,1,1,5,25,25,True
5,4,1,1,5,25,25,True
6,0,6,6,1,6,6,True
6,1,1,1,6,36,36,True
6,2,2,2,3,18,18,True
6,3,3,3,2,12,12,True
6,4,2,2,3,18,18,True
6,5,1,1,6,36,36,True
7,0,7,7,1,7,7,True
7,1,1,1,7,49,49,True
7,2,1,1,7,49,49,True
7,3,1,1,7,49,49,True
7,4,1,1,7,49,49,True
7,5,1,1,7,49,49,True
7,6,1,1,7,49,49,True
8,0,8,8,1,8,8,True
8,1,1,1,8,64,64,True
8,2,2,2,4,32,32,True
8,3,1,1,8,64,64,True
8,4,4,4,2,16,16,True
8,5,1,1,8,64,64,True
8,6,2,2,4,32,32,True
8,7,1,1,8,64,64,True
9,0,9,9,1,9,9,True
9,1,1,1,9,81,81,True
9,2,1,1,9,81,81,True
9,3,3,3,3,27,27,True
9,4,1,1,9,81,81,True
9,5,1,1,9,81,81,True
9,6,3,3,3,27,27,True
9,7,1,1,9,81,81,True
9,8,1,1,9,81,81,True
10,0,10,10,1,10,10,True
10,1,1,1,10,100,100,True
10,2,2,2,5,50,50,True
10,3,1,1,10,100,100,True
10,4,2,2,5,50,50,True
10,5,5,5,2,20,20,True
10,6,2,2,5,50,50,True
10,7,1,1,10,100,100,True
10,8,2,2,5,50,50,True
10,9,1,1,10,100,100,True
11,0,11,11,1,11,11,True
11,1,1,1,11,121,121,True
11,2,1,1,11,121,121,True
11,3,1,1,11,121,121,True
11,4,1,1,11,121,121,True
11,5,1,1,11,121,121,True
11,6,1,1,11,121,121,True
11,7,1,1,11,121,121,True
11,8,1,1,11,121,121,True
11,9,1,1,11,121,121,True
11,10,1,1,11,121,121,True
12,0,12,12,1,12,12,True
12,1,1,1,12,144,144,True
12,2,2,2,6,72,72,True
12,3,3,3,4,48,48,True
12,4,4,4,3,36,36,True
12,5,1,1,12,144,144,True
12,6,6,6,2,24,24,True
12,7,1,1,12,144,144,True
12,8,4,4,3,36,36,True
12,9,3,3,4,48,48,True
12,10,2,2,6,72,72,True
12,11,1,1,12,144,144,True
13,0,13,13,1,13,13,True
13,1,1,1,13,169,169,True
13,2,1,1,13,169,169,True
13,3,1,1,13,169,169,True
13,4,1,1,13,169,169,True
13,5,1,1,13,169,169,True
13,6,1,1,13,169,169,True
13,7,1,1,13,169,169,True
13,8,1,1,13,169,169,True
13,9,1,1,13,169,169,True
13,10,1,1,13,169,169,True
13,11,1,1,13,169,169,True
13,12,1,1,13,169,169,True
14,0,14,14,1,14,14,True
14,1,1,1,14,196,196,True
14,2,2,2,7,98,98,True
14,3,1,1,14,196,196,True
14,4,2,2,7,98,98,True
14,5,1,1,14,196,196,True
14,6,2,2,7,98,98,True
14,7,7,7,2,28,28,True
14,8,2,2,7,98,98,True
14,9,1,1,14,196,196,True
14,10,2,2,7,98,98,True
14,11,1,1,14,196,196,True
14,12,2,2,7,98,98,True
14,13,1,1,14,196,196,True
15,0,15,15,1,15,15,True
15,1,1,1,15,225,225,True
15,2,1,1,15,225,225,True
15,3,3,3,5,75,75,True
15,4,1,1,15,225,225,True
15,5,5,5,3,45,45,True
15,6,3,3,5,75,75,True
15,7,1,1,15,225,225,True
15,8,1,1,15,225,225,True
15,9,3,3,5,75,75,True
15,10,5,5,3,45,45,True
15,11,1,1,15,225,225,True
15,12,3,3,5,75,75,True
15,13,1,1,15,225,225,True
15,14,1,1,15,225,225,True
16,0,16,16,1,16,16,True
16,1,1,1,16,256,256,True
16,2,2,2,8,128,128,True
16,3,1,1,16,256,256,True
16,4,4,4,4,64,64,True
16,5,1,1,16,256,256,True
16,6,2,2,8,128,128,True
16,7,1,1,16,256,256,True
16,8,8,8,2,32,32,True
16,9,1,1,16,256,256,True
16,10,2,2,8,128,128,True
16,11,1,1,16,256,256,True
16,12,4,4,4,64,64,True
16,13,1,1,16,256,256,True
16,14,2,2,8,128,128,True
16,15,1,1,16,256,256,True
17,0,17,17,1,17,17,True
17,1,1,1,17,289,289,True
17,2,1,1,17,289,289,True
17,3,1,1,17,289,289,True
17,4,1,1,17,289,289,True
17,5,1,1,17,289,289,True
17,6,1,1,17,289,289,True
17,7,1,1,17,289,289,True
17,8,1,1,17,289,289,True
17,9,1,1,17,289,289,True
17,10,1,1,17,289,289,True
17,11,1,1,17,289,289,True
17,12,1,1,17,289,289,True
17,13,1,1,17,289,289,True
17,14,1,1,17,289,289,True
17,15,1,1,17,289,289,True
17,16,1,1,17,289,289,True
18,0,18,18,1,18,18,True
18,1,1,1,18,324,324,True
18,2,2,2,9,162,162,True
18,3,3,3,6,108,108,True
18,4,2,2,9,162,162,True
18,5,1,1,18,324,324,True
18,6,6,6,3,54,54,True
18,7,1,1,18,324,324,True
18,8,2,2,9,162,162,True
18,9,9,9,2,36,36,True
18,10,2,2,9,162,162,True
18,11,1,1,18,324,324,True
18,12,6,6,3,54,54,True
18,13,1,1,18,324,324,True
18,14,2,2,9,162,162,True
18,15,3,3,6,108,108,True
18,16,2,2,9,162,162,True
18,17,1,1,18,324,324,True
19,0,19,19,1,19,19,True
19,1,1,1,19,361,361,True
19,2,1,1,19,361,361,True
19,3,1,1,19,361,361,True
19,4,1,1,19,361,361,True
19,5,1,1,19,361,361,True
19,6,1,1,19,361,361,True
19,7,1,1,19,361,361,True
19,8,1,1,19,361,361,True
19,9,1,1,19,361,361,True
19,10,1,1,19,361,361,True
19,11,1,1,19,361,361,True
19,12,1,1,19,361,361,True
19,13,1,1,19,361,361,True
19,14,1,1,19,361,361,True
19,15,1,1,19,361,361,True
19,16,1,1,19,361,361,True
19,17,1,1,19,361,361,True
19,18,1,1,19,361,361,True
20,0,20,20,1,20,20,True
20,1,1,1,20,400,400,True
20,2,2,2,10,200,200,True
20,3,1,1,20,400,400,True
20,4,4,4,5,100,100,True
20,5,5,5,4,80,80,True
20,6,2,2,10,200,200,True
20,7,1,1,20,400,400,True
20,8,4,4,5,100,100,True
20,9,1,1,20,400,400,True
20,10,10,10,2,40,40,True
20,11,1,1,20,400,400,True
20,12,4,4,5,100,100,True
20,13,1,1,20,400,400,True
20,14,2,2,10,200,200,True
20,15,5,5,4,80,80,True
20,16,4,4,5,100,100,True
20,17,1,1,20,400,400,True
20,18,2,2,10,200,200,True
20,19,1,1,20,400,400,True
21,0,21,21,1,21,21,True
21,1,1,1,21,441,441,True
21,2,1,1,21,441,441,True
21,3,3,3,7,147,147,True
21,4,1,1,21,441,441,True
21,5,1,1,21,441,441,True
21,6,3,3,7,147,147,True
21,7,7,7,3,63,63,True
21,8,1,1,21,441,441,True
21,9,3,3,7,147,147,True
21,10,1,1,21,441,441,True
21,11,1,1,21,441,441,True
21,12,3,3,7,147,147,True
21,13,1,1,21,441,441,True
21,14,7,7,3,63,63,True
21,15,3,3,7,147,147,True
21,16,1,1,21,441,441,True
21,17,1,1,21,441,441,True
21,18,3,3,7,147,147,True
21,19,1,1,21,441,441,True
21,20,1,1,21,441,441,True
22,0,22,22,1,22,22,True
22,1,1,1,22,484,484,True
22,2,2,2,11,242,242,True
22,3,1,1,22,484,484,True
22,4,2,2,11,242,242,True
22,5,1,1,22,484,484,True
22,6,2,2,11,242,242,True
22,7,1,1,22,484,484,True
22,8,2,2,11,242,242,True
22,9,1,1,22,484,484,True
22,10,2,2,11,242,242,True
22,11,11,11,2,44,44,True
22,12,2,2,11,242,242,True
22,13,1,1,22,484,484,True
22,14,2,2,11,242,242,True
22,15,1,1,22,484,484,True
22,16,2,2,11,242,242,True
22,17,1,1,22,484,484,True
22,18,2,2,11,242,242,True
22,19,1,1,22,484,484,True
22,20,2,2,11,242,242,True
22,21,1,1,22,484,484,True
23,0,23,23,1,23,23,True
23,1,1,1,23,529,529,True
23,2,1,1,23,529,529,True
23,3,1,1,23,529,529,True
23,4,1,1,23,529,529,True
23,5,1,1,23,529,529,True
23,6,1,1,23,529,529,True
23,7,1,1,23,529,529,True
23,8,1,1,23,529,529,True
23,9,1,1,23,529,529,True
23,10,1,1,23,529,529,True
23,11,1,1,23,529,529,True
23,12,1,1,23,529,529,True
23,13,1,1,23,529,529,True
23,14,1,1,23,529,529,True
23,15,1,1,23,529,529,True
23,16,1,1,23,529,529,True
23,17,1,1,23,529,529,True
23,18,1,1,23,529,529,True
23,19,1,1,23,529,529,True
23,20,1,1,23,529,529,True
23,21,1,1,23,529,529,True
23,22,1,1,23,529,529,True
24,0,24,24,1,24,24,True
24,1,1,1,24,576,576,True
24,2,2,2,12,288,288,True
24,3,3,3,8,192,192,True
24,4,4,4,6,144,144,True
24,5,1,1,24,576,576,True
24,6,6,6,4,96,96,True
24,7,1,1,24,576,576,True
24,8,8,8,3,72,72,True
24,9,3,3,8,192,192,True
24,10,2,2,12,288,288,True
24,11,1,1,24,576,576,True
24,12,12,12,2,48,48,True
24,13,1,1,24,576,576,True
24,14,2,2,12,288,288,True
24,15,3,3,8,192,192,True
24,16,8,8,3,72,72,True
24,17,1,1,24,576,576,True
24,18,6,6,4,96,96,True
24,19,1,1,24,576,576,True
24,20,4,4,6,144,144,True
24,21,3,3,8,192,192,True
24,22,2,2,12,288,288,True
24,23,1,1,24,576,576,True
