run,seed,selected_k
0,3915088655,10
1,3871593120,7
2,1347626746,24
3,1149122395,24
4,2793620951,7
5,2994203796,23
6,3490758384,9
7,2111357637,4
8,448670137,2
9,3332171919,10
10,2189732859,11
11,1312215922,24
12,1953858039,18
13,3196996520,10
14,524619076,16
15,3390343722,7
16,1550889969,8
17,348584844,14
18,2561664332,7
19,3764998216,16
20,3024782984,17
21,2407366268,16
22,2875109806,5
23,3806321948,22
24,3745513320,17
25,1490348857,23
26,2237608786,18
27,4289523518,11
28,438504895,15
29,2414188563,17
30,2422155565,17
31,1900411124,21
32,3495175324,23
33,2360504024,19
34,1154402312,15
35,463942815,2
36,366757709,2
37,3495737579,10
38,1435563566,8
39,804857697,22
40,1799635989,20
41,1501157391,7
42,1428664327,5
43,2618988366,11
44,1404399078,4
45,3765873297,9
46,1068196676,13
47,401648280,17
48,2766543836,3
49,1817340527,9
50,2587343124,13
51,609871627,11
52,1556335448,15
53,249623885,20
54,2735559659,19
55,2754652623,24
56,3567577941,2
57,2413587731,10
58,1410658452,21
59,483841594,10
60,2435179908,11
61,2413027407,15
62,1977010574,16
63,2598186608,2
64,1019303684,4
65,2212883344,16
66,2541696697,2
67,4149897355,24
68,1390363899,9
69,3984394441,4
70,1494285926,19
71,1056182424,14
72,408982481,9
73,3708778679,8
74,3780277698,21
75,4279180381,19
76,2123218668,3
77,4115298887,8
78,3246901165,6
79,752071388,10
80,249519570,21
81,1935730460,19
82,4132904272,11
83,3461634390,4
84,1740607263,5
85,2300969761,4
86,814146364,18
87,185300961,11
88,2611755752,12
89,3743063058,5
90,4192910910,17
91,4066078100,12
92,3827105812,23
93,1046765968,2
94,3721791096,23
95,2725810508,24
96,113235834,6
97,1725751693,4
98,185651972,15
99,3721618076,3
100,938312551,15
101,3306383566,20
102,2687646516,6
103,3007852088,16
104,1904976740,10
105,1558598579,19
106,2585718289,13
107,3023616026,16
108,3457620447,24
109,2803586035,2
110,1560349602,8
111,1991315436,15
112,3282578886,24
113,3151489230,16
114,3136990469,5
115,3625383903,15
116,2111804154,19
117,1626016569,8
118,2295386188,21
119,2083752839,18
120,859569481,5
121,3934960422,22
122,3057448007,10
123,3919785666,5
124,1847580378,23
125,633189264,14
126,307895438,8
127,427545087,16
128,2736891451,4
129,3670660777,18
130,3708336464,18
131,1446007682,10
132,13149014,9
133,1795515102,15
134,1614117734,7
135,2910941726,2
136,2314918569,22
137,815967679,5
138,36043695,3
139,1177987745,18
140,2327846381,7
141,2986472798,22
142,3338274630,20
143,70290461,11
144,3223931840,8
145,833292772,19
146,1533415111,16
147,929371782,2
148,3283477569,21
149,1629248947,13
150,4407803,17
151,3590601152,23
152,2561201499,24
153,3902151001,20
154,4099939843,14
155,4154176592,11
156,546652495,15
157,567190697,8
158,3573448326,2
159,4001049931,17
160,610985331,21
161,3797972217,12
162,1986591,5
163,2855571580,21
164,1704429749,2
165,3037411571,4
166,291724945,10
167,3293081218,21
168,2223086327,18
169,1702309498,3
170,3796541817,23
171,2312539650,24
172,2080924407,14
173,4020956381,15
174,483313792,14
175,2797161472,8
