model,beta,dynamic_winner_k,winner_selection_probability
null,0.5,10,0.103
candidate_pair_residual,0.5,12,1.0
control_shift_minus_1,0.5,14,1.0
control_shift_plus_1,0.5,10,1.0
control_linear,0.5,4,0.521
control_cubic,0.5,20,1.0
null,1.0,14,0.097
candidate_pair_residual,1.0,12,1.0
control_shift_minus_1,1.0,14,1.0
control_shift_plus_1,1.0,10,1.0
control_linear,1.0,6,0.502
control_cubic,1.0,20,1.0
null,2.0,14,0.104
candidate_pair_residual,2.0,12,1.0
control_shift_minus_1,2.0,14,1.0
control_shift_plus_1,2.0,10,1.0
control_linear,2.0,6,0.519
control_cubic,2.0,20,1.0
null,4.0,24,0.107
candidate_pair_residual,4.0,12,1.0
control_shift_minus_1,4.0,14,1.0
control_shift_plus_1,4.0,10,1.0
control_linear,4.0,6,0.516
control_cubic,4.0,20,1.0
