beta,noise_strength,detected_target_k,target_terminal_probability,target_argmax_frequency,target_gain_over_uniform,mean_initial_entropy,mean_final_entropy,mean_entropy_change
0.0,0.0,12,0.09036698413880295,0.06866666666666667,0.9940368255268325,2.020982681587737,2.3638657328318127,0.3428830512440757
0.0,0.03,12,0.0915746484273363,0.064,1.0073211327006992,2.0257468118672746,2.364476983281441,0.3387301714141664
0.0,0.06,12,0.09027867288388412,0.048,0.9930654017227253,2.017383022262836,2.3609814716809625,0.34359844941812634
0.0,0.1,12,0.09077116882566362,0.064,0.9984828570822998,2.0290729349572976,2.357166489650332,0.3280935546930346
0.0,0.15,12,0.09105607139149892,0.068,1.0016167853064881,2.0208156788227765,2.348134794736551,0.3273191159137747
0.25,0.0,12,0.10139912398467672,0.336,1.115390363831444,2.028611812979732,2.3659351584091683,0.3373233454294362
0.25,0.03,12,0.10196273015833494,0.296,1.1215900317416843,2.0241871096471638,2.3634295973460686,0.33924248769890486
0.25,0.06,12,0.10089801728585157,0.226,1.1098781901443673,2.0193782418366464,2.3581521013745683,0.33877385953792194
0.25,0.1,12,0.10035174510971365,0.21,1.10386919620685,2.019372856401785,2.355429315942591,0.336056459540806
0.25,0.15,12,0.10259832897366569,0.19666666666666666,1.1285816187103226,2.0130753612283,2.3465538473802825,0.3334784861519826
0.5,0.0,12,0.11310148195299846,0.5586666666666666,1.244116301482983,2.011781901037529,2.3604423846539238,0.3486604836163947
0.5,0.03,12,0.11235472632491675,0.5093333333333333,1.2359019895740841,2.0242264768922635,2.3606521847772632,0.3364257078849997
0.5,0.06,12,0.11188590535049511,0.48333333333333334,1.2307449588554462,2.0279432975117384,2.359485378057891,0.33154208054615264
0.5,0.1,12,0.1121185146591349,0.4046666666666667,1.233303661250484,2.018248801524419,2.351449180785862,0.33320037926144286
0.5,0.15,12,0.11202474557732146,0.3413333333333333,1.232272201350536,2.0168340921304457,2.3446170821786922,0.3277829900482465
1.0,0.0,12,0.13787233252194175,0.81,1.5165956577413593,2.0267354337064867,2.3510441501792028,0.3243087164727161
1.0,0.03,12,0.1379178757822297,0.816,1.5170966336045266,2.0209123173996444,2.3488827175221507,0.32797040012250633
1.0,0.06,12,0.1385296992648632,0.792,1.523826691913495,2.0207062990381943,2.34649083705294,0.3257845380147457
1.0,0.1,12,0.13703508390367905,0.7113333333333334,1.5073859229404696,2.016769076622676,2.3420964121111956,0.3253273354885198
1.0,0.15,12,0.13702576114245066,0.6433333333333333,1.5072833725669572,2.0266590647973675,2.3347747269254215,0.3081156621280541
2.0,0.0,12,0.19670115136421115,0.972,2.1637126650063228,2.0148321260954405,2.296566069073457,0.28173394297801657
2.0,0.03,12,0.19625654662395528,0.9733333333333334,2.158822012863508,2.0186331441859986,2.297646952391361,0.2790138082053626
2.0,0.06,12,0.19672274174582974,0.9666666666666667,2.163950159204127,2.015914483418421,2.29424604160081,0.2783315581823893
2.0,0.1,12,0.19478697605060583,0.9533333333333334,2.142656736556664,2.020721065720155,2.292959442284082,0.2722383765639269
2.0,0.15,12,0.19462030935865401,0.9253333333333333,2.1408234029451942,2.0103173165816326,2.2827147054819865,0.2723973889003539
