k,max_cycle_closure_error,max_gauge_to_shift_error,max_gauge_phase_commutator_error,max_dressed_weyl_relation_error
2,3.157234899425222e-16,3.157234899425222e-16,0.0,3.1401849173675503e-16
3,8.402147043297752e-16,5.142752125397131e-16,1.5700924586837752e-16,8.15843973306311e-16
4,1.1775693440128313e-15,7.736788912175082e-16,0.0,3.1401849173675503e-16
5,1.6947206929537494e-15,6.377786006014895e-16,1.1102230246251565e-16,3.9350319887992495e-16
6,3.30066381176097e-15,1.0158738630919407e-15,1.5700924586837752e-16,9.871780750502622e-16
7,3.7261520672005745e-15,1.5344784316268834e-15,1.9229626863835638e-16,8.386594157882081e-16
8,5.28085841456928e-15,1.4429729765749775e-15,0.0,9.662767911105659e-16
9,2.926999501804977e-15,3.8389756623004374e-15,1.1102230246251565e-16,8.922096186039424e-16
10,4.7124053719580826e-15,3.722663980118391e-15,1.5700924586837752e-16,7.066778860128639e-16
11,7.860346663329605e-15,4.016487472495527e-15,1.6653345369377348e-16,6.158048441266492e-16
12,1.126958403192735e-14,3.778149675279538e-15,0.0,1.361173300777359e-15
13,9.500831256452498e-15,4.1752962219867175e-15,1.1102230246251565e-16,9.140396106707756e-16
14,9.416072673768866e-15,4.093086961107905e-15,1.5700924586837752e-16,8.313941646659417e-16
15,1.0199800903458703e-14,4.164762779346785e-15,1.6653345369377348e-16,1.1739657014595895e-15
16,1.4399607609259386e-14,4.066831197679568e-15,0.0,1.0885553088785373e-15
17,9.309714307696892e-15,4.2933840108761535e-15,1.1102230246251565e-16,8.886119947416683e-16
18,1.2269846361868383e-14,4.298472290880851e-15,1.5700924586837752e-16,1.1885172769929842e-15
19,1.1649782944488452e-14,4.899511088661962e-15,1.5700924586837752e-16,1.0744368039712068e-15
20,2.2472900677506435e-14,4.67587239517032e-15,0.0,1.569617065754817e-15
21,1.1187358718279396e-14,4.576538607600607e-15,1.1102230246251565e-16,1.3820074984777838e-15
22,1.7835754501548534e-14,7.880769387119478e-15,1.5700924586837752e-16,1.5366791157600828e-15
23,1.75095217156866e-14,4.45471451941838e-15,1.6653345369377348e-16,1.6590777789236517e-15
24,1.9446466502000618e-14,9.196191772806036e-15,0.0,1.4362001846674193e-15
