k,phase_only_dimension,shift_only_dimension,phase_shift_dimension,expected_single_generator_dimension,expected_pair_dimension
2,2,2,4,2,4
3,3,3,9,3,9
4,4,4,16,4,16
5,5,5,25,5,25
6,6,6,36,6,36
7,7,7,49,7,49
8,8,8,64,8,64
9,9,9,81,9,81
10,10,10,100,10,100
11,11,11,121,11,121
12,12,12,144,12,144
13,13,13,169,13,169
14,14,14,196,14,196
15,15,15,225,15,225
16,16,16,256,16,256
17,17,17,289,17,289
18,18,18,324,18,324
19,19,19,361,19,361
20,20,20,400,20,400
21,21,21,441,21,441
22,22,22,484,22,484
23,23,23,529,23,529
24,24,24,576,24,576
