k,r,delta_phi_over_2pi,gcd_k_r,orbit_length,cycle_count,transitive_full_cycle,kernel_preservation_error,operator_X_power_error,conjugacy_to_X_error,cycle_decomposition
12,0,0.0,12,1,12,False,0.0,0.0,,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11
12,1,0.08333333333333333,1,12,1,True,6.066371422017442e-16,0.0,0.0,0-1-2-3-4-5-6-7-8-9-10-11
12,2,0.16666666666666666,2,6,2,False,7.550332863779066e-16,0.0,,0-2-4-6-8-10 | 1-3-5-7-9-11
12,3,0.25,3,4,3,False,4.965068306494546e-16,0.0,,0-3-6-9 | 1-4-7-10 | 2-5-8-11
12,4,0.3333333333333333,4,3,4,False,6.950990486734926e-16,0.0,,0-4-8 | 1-5-9 | 2-6-10 | 3-7-11
12,5,0.4166666666666667,1,12,1,True,4.965068306494546e-16,0.0,0.0,0-5-10-3-8-1-6-11-4-9-2-7
12,6,0.5,6,2,6,False,7.550332863779066e-16,0.0,,0-6 | 1-7 | 2-8 | 3-9 | 4-10 | 5-11
12,7,0.5833333333333334,1,12,1,True,7.1193825593815e-16,0.0,0.0,0-7-2-9-4-11-6-1-8-3-10-5
12,8,0.6666666666666666,4,3,4,False,7.850462293418876e-16,0.0,,0-8-4 | 1-9-5 | 2-10-6 | 3-11-7
12,9,0.75,3,4,3,False,6.955527313080394e-16,0.0,,0-9-6-3 | 1-10-7-4 | 2-11-8-5
12,10,0.8333333333333334,2,6,2,False,7.447602459741819e-16,0.0,,0-10-8-6-4-2 | 1-11-9-7-5-3
12,11,0.9166666666666666,1,12,1,True,1.1430445635548515e-15,0.0,0.0,0-11-10-9-8-7-6-5-4-3-2-1
