k,measured_transitive_steps,euler_totient_phi_k,agreement,fraction_of_nonzero_steps_transitive
2,1,1,True,1.0
3,2,2,True,1.0
4,2,2,True,0.6666666666666666
5,4,4,True,1.0
6,2,2,True,0.4
7,6,6,True,1.0
8,4,4,True,0.5714285714285714
9,6,6,True,0.75
10,4,4,True,0.4444444444444444
11,10,10,True,1.0
12,4,4,True,0.36363636363636365
13,12,12,True,1.0
14,6,6,True,0.46153846153846156
15,8,8,True,0.5714285714285714
16,8,8,True,0.5333333333333333
17,16,16,True,1.0
18,6,6,True,0.35294117647058826
19,18,18,True,1.0
20,8,8,True,0.42105263157894735
21,12,12,True,0.6
22,10,10,True,0.47619047619047616
23,22,22,True,1.0
24,8,8,True,0.34782608695652173
25,20,20,True,0.8333333333333334
26,12,12,True,0.48
27,18,18,True,0.6923076923076923
28,12,12,True,0.4444444444444444
29,28,28,True,1.0
30,8,8,True,0.27586206896551724
31,30,30,True,1.0
32,16,16,True,0.5161290322580645
33,20,20,True,0.625
34,16,16,True,0.48484848484848486
35,24,24,True,0.7058823529411765
36,12,12,True,0.34285714285714286
