k,F_k,closure_capacity_k2,signed_integer_defect,absolute_integer_defect,ratio_F_over_C,log_ratio_defect_D,bounded_defect_B,bounded_from_tanh_D_over_2,bounded_identity_error,symmetric_relative_defect,symmetric_from_2sinh_D_over_2,symmetric_identity_error,exact_DCT_closure
2,1,4,-3,3,0.25,1.3862943611198906,0.6,0.6,0.0,1.5,1.5,0.0,False
3,2,9,-7,7,0.2222222222222222,1.5040773967762742,0.6363636363636364,0.6363636363636364,0.0,1.649915822768611,1.649915822768611,0.0,False
4,3,16,-13,13,0.1875,1.6739764335716716,0.6842105263157895,0.6842105263157895,0.0,1.8763883748662837,1.8763883748662837,0.0,False
5,5,25,-20,20,0.2,1.6094379124341003,0.6666666666666666,0.6666666666666666,0.0,1.7888543819998317,1.7888543819998317,0.0,False
6,8,36,-28,28,0.2222222222222222,1.5040773967762742,0.6363636363636364,0.6363636363636364,0.0,1.649915822768611,1.649915822768611,0.0,False
7,13,49,-36,36,0.2653061224489796,1.3268709406490897,0.5806451612903226,0.5806451612903225,1.1102230246251565e-16,1.426371933150589,1.426371933150589,0.0,False
8,21,64,-43,43,0.328125,1.114360645636249,0.5058823529411764,0.5058823529411764,0.0,1.172921160018459,1.172921160018459,0.0,False
9,34,81,-47,47,0.41975308641975306,0.8680886300562775,0.40869565217391307,0.40869565217391307,0.0,0.8956037224108795,0.8956037224108796,1.1102230246251565e-16,False
10,55,100,-45,45,0.55,0.5978370007556204,0.2903225806451613,0.29032258064516125,5.551115123125783e-17,0.6067798762169179,0.6067798762169179,0.0,False
11,89,121,-32,32,0.7355371900826446,0.30715417586460125,0.1523809523809524,0.15238095238095237,2.7755575615628914e-17,0.30836301963821383,0.30836301963821383,0.0,False
12,144,144,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
13,233,169,64,64,1.378698224852071,0.32113973864262707,0.15920398009950248,0.15920398009950248,0.0,0.3225214927165137,0.32252149271651365,5.551115123125783e-17,False
14,377,196,181,181,1.9234693877551021,0.6541305282174936,0.3158813263525305,0.3158813263525306,5.551115123125783e-17,0.6658553048218104,0.6658553048218105,1.1102230246251565e-16,False
15,610,225,385,385,2.7111111111111112,0.9973585549629369,0.46107784431137727,0.46107784431137727,0.0,1.039212957062942,1.0392129570629423,2.220446049250313e-16,False
16,987,256,731,731,3.85546875,1.3494925949539192,0.588093322606597,0.588093322606597,0.0,1.4542491477872417,1.454249147787242,2.220446049250313e-16,False
17,1597,289,1308,1308,5.525951557093426,1.7094554601025802,0.6935312831389183,0.6935312831389183,0.0,1.9253352604601286,1.9253352604601286,0.0,False
18,2584,324,2260,2260,7.9753086419753085,2.076350349110163,0.7771664374140302,0.7771664374140302,0.0,2.469958631005656,2.469958631005656,0.0,False
19,4181,361,3820,3820,11.581717451523545,2.449427773023684,0.841039189784236,0.841039189784236,0.0,3.1093504838907813,3.1093504838907813,0.0,False
20,6765,400,6365,6365,16.9125,2.8280529934969065,0.8883461270062806,0.8883461270062806,0.0,3.869318785523611,3.8693187855236113,4.440892098500626e-16,False
21,10946,441,10505,10505,24.820861678004537,3.2116844962570177,0.9225432510757882,0.9225432510757883,1.1102230246251565e-16,4.781333534479364,4.781333534479365,8.881784197001252e-16,False
22,17711,484,17227,17227,36.59297520661157,3.5998562877400007,0.9467985710359988,0.946798571035999,1.1102230246251565e-16,5.883902009389257,5.883902009389258,8.881784197001252e-16,False
23,28657,529,28128,28128,54.17202268431002,3.992164588539069,0.963749743027479,0.963749743027479,0.0,7.224298055691578,7.224298055691578,0.0,False
24,46368,576,45792,45792,80.5,4.388257184424518,0.9754601226993865,0.9754601226993865,0.0,8.86072357994811,8.86072357994811,0.0,False
25,75025,625,74400,74400,120.04,4.787825020572167,0.9834765366820886,0.9834765366820886,0.0,10.865004857637256,10.86500485763726,3.552713678800501e-15,False
26,121393,676,120717,120717,179.57544378698225,5.190595419276104,0.9889242969140404,0.9889242969140405,1.1102230246251565e-16,13.325952591732586,13.325952591732587,1.7763568394002505e-15,False
27,196418,729,195689,195689,269.43484224965704,5.596326588388768,0.9926045032387001,0.9926045032387001,0.0,16.353548658383875,16.353548658383872,3.552713678800501e-15,False
28,317811,784,317027,317027,405.37117346938777,6.004803125099459,0.9950783910607511,0.9950783910607511,0.0,20.084163919475323,20.084163919475326,3.552713678800501e-15,False
