k,log_ratio_defect_D,bounded_defect_B,symmetric_relative_defect,rank_D,rank_B,rank_symmetric,all_ranks_equal
2,1.3862943611198906,0.6,1.5,11.0,11.0,11.0,True
3,1.5040773967762742,0.6363636363636364,1.649915822768611,12.0,12.0,12.0,True
4,1.6739764335716716,0.6842105263157895,1.8763883748662837,15.0,15.0,15.0,True
5,1.6094379124341003,0.6666666666666666,1.7888543819998317,14.0,14.0,14.0,True
6,1.5040773967762742,0.6363636363636364,1.649915822768611,12.0,12.0,12.0,True
7,1.3268709406490897,0.5806451612903226,1.426371933150589,9.0,9.0,9.0,True
8,1.114360645636249,0.5058823529411764,1.172921160018459,8.0,8.0,8.0,True
9,0.8680886300562775,0.40869565217391307,0.8956037224108795,6.0,6.0,6.0,True
10,0.5978370007556204,0.2903225806451613,0.6067798762169179,4.0,4.0,4.0,True
11,0.30715417586460125,0.1523809523809524,0.30836301963821383,2.0,2.0,2.0,True
12,0.0,0.0,0.0,1.0,1.0,1.0,True
13,0.32113973864262707,0.15920398009950248,0.3225214927165137,3.0,3.0,3.0,True
14,0.6541305282174936,0.3158813263525305,0.6658553048218104,5.0,5.0,5.0,True
15,0.9973585549629369,0.46107784431137727,1.039212957062942,7.0,7.0,7.0,True
16,1.3494925949539192,0.588093322606597,1.4542491477872417,10.0,10.0,10.0,True
17,1.7094554601025802,0.6935312831389183,1.9253352604601286,16.0,16.0,16.0,True
18,2.076350349110163,0.7771664374140302,2.469958631005656,17.0,17.0,17.0,True
19,2.449427773023684,0.841039189784236,3.1093504838907813,18.0,18.0,18.0,True
20,2.8280529934969065,0.8883461270062806,3.869318785523611,19.0,19.0,19.0,True
21,3.2116844962570177,0.9225432510757882,4.781333534479364,20.0,20.0,20.0,True
22,3.5998562877400007,0.9467985710359988,5.883902009389257,21.0,21.0,21.0,True
23,3.992164588539069,0.963749743027479,7.224298055691578,22.0,22.0,22.0,True
24,4.388257184424518,0.9754601226993865,8.86072357994811,23.0,23.0,23.0,True
25,4.787825020572167,0.9834765366820886,10.865004857637256,24.0,24.0,24.0,True
26,5.190595419276104,0.9889242969140404,13.325952591732586,25.0,25.0,25.0,True
27,5.596326588388768,0.9926045032387001,16.353548658383875,26.0,26.0,26.0,True
28,6.004803125099459,0.9950783910607511,20.084163919475323,27.0,27.0,27.0,True
29,6.415832310539258,0.9967344244471625,24.68706342157454,28.0,28.0,28.0,True
30,6.829241032246454,0.9978389799985593,30.372519990406694,29.0,29.0,29.0,True
31,7.244873211660474,0.9985733690609622,37.40193818793124,30.0,30.0,30.0,True
32,7.662587640090765,0.999060262933659,46.10049189435958,31.0,31.0,31.0,True
33,8.082256147816919,0.9993822445511729,56.8729056585445,32.0,32.0,32.0,True
34,8.503762046577139,0.9995946734623143,70.22316893518482,33.0,33.0,33.0,True
35,8.926998797890246,0.9997345235347596,86.77917159406267,34.0,34.0,34.0,True
36,9.351868869016453,0.9998264089804421,107.3234989186263,35.0,35.0,35.0,True
