maximum_detailed_balance_flux_error,maximum_rate_ratio_error,stationary_distribution_residual_L1,spectral_gap,minimum_generator_real_eigenvalue,maximum_generator_real_eigenvalue,lambda,topology
0.0,0.0,2.1961599205866378e-15,34.99999999999996,-35.000000000000036,-9.079620302763761e-15,0.0,complete_graph
0.0,0.0,0.0,0.0080514120095218,-3.9919485879904792,1.8579363823636725e-17,0.0,path_graph
1.3877787807814457e-17,1.7763568394002505e-15,3.4547261007086534e-15,23.95894935522109,-76.19089638275331,-1.4210854715202004e-14,0.25,complete_graph
1.3877787807814457e-17,2.220446049250313e-16,2.1208134067377536e-16,0.01267478748498309,-3.9916348704082805,-9.121046338403394e-17,0.25,path_graph
1.3877787807814457e-17,1.4210854715202004e-14,3.270406356403093e-15,18.04846967117811,-183.37662467460623,1.6798209251540288e-15,0.5,complete_graph
1.3877787807814457e-17,2.220446049250313e-16,1.5872014843662813e-16,0.0209544734912757,-3.996704323665351,4.543890791218622e-16,0.5,path_graph
2.7755575615628914e-17,9.094947017729282e-13,2.496527984715285e-15,12.199749513904694,-1257.8454110490666,-1.825613797825059e-15,1.0,complete_graph
2.7755575615628914e-17,2.220446049250313e-16,2.2915204604427613e-16,0.044413190263380385,-4.0232267737944465,-1.8090239947695882e-16,1.0,path_graph
2.7755575615628914e-17,1.4901161193847656e-08,1.6217746224915772e-15,7.627975979642251,-78672.92780770542,2.8189547843408383e-12,2.0,complete_graph
1.3877787807814457e-17,4.440892098500626e-16,9.088157220074771e-17,0.05528750648274865,-4.142867113196498,3.634250579814444e-17,2.0,path_graph
5.551115123125783e-17,0.5,6.616288285208273e-16,1.4711129106631962e-09,-464022394.51276886,-1.4711129106631962e-09,4.0,complete_graph
5.551115123125783e-17,8.881784197001252e-16,2.0670645778740062e-16,0.055481595548472304,-4.67777766208962,-1.8388068845354155e-15,4.0,path_graph
5.551115123125783e-17,3.602879701896397e+16,2.932352374297465e-16,1.528185321896762e-05,-3.2016582749266068e+16,1.528185321896762e-05,8.0,complete_graph
5.551115123125783e-17,3.552713678800501e-15,1.1602304603100485e-16,0.03593372036092177,-7.421018268173437,5.686415930955448e-16,8.0,path_graph
