lambda,h0,topology,initial_condition,defect_representation,commitment_law,block_factor,target_probability,max_real_transient_eigenvalue,transient_extinction_verified,minimum_expected_residence,all_states_positive_residence,all_states_residence_above_tolerance,minimum_schur_footprint,all_states_nonzero_schur_footprint,causal_probe_count,positive_causal_count,negative_causal_count,near_zero_causal_count,positive_causal_fraction,median_causal_effect,mean_absolute_causal_effect,max_absolute_causal_effect,min_causal_effect,max_causal_effect
0.0,0.02,path,boundary_pair,log,exponential,0.05,0.018586530124721317,-0.020000000000000136,True,0.6137874904148825,True,True,1.0099834956033915,True,32,25,7,0,0.78125,0.0015536010250282572,0.004338434028087286,0.011139852836800053,-0.00849472539511998,0.011139852836800053
0.0,0.1,path,boundary_pair,log,exponential,0.05,0.006063007606001378,-0.10000000000000005,True,0.013627045119739715,True,True,0.942682619394473,True,32,25,7,0,0.78125,6.944421589777199e-05,0.0017481208119927974,0.005414213805524434,-0.0033703330108396483,0.005414213805524434
0.0,0.5,path,boundary_pair,log,exponential,0.05,0.0002661673836207466,-0.49999999999999967,True,8.895299114513101e-06,True,True,0.7702801765181336,True,32,25,7,0,0.78125,1.8141187364681876e-08,7.79185310521624e-05,0.00025990491639979994,-0.00011650580323428517,0.00025990491639979994
0.5,0.02,path,boundary_pair,log,exponential,0.05,0.035607865490604566,-0.013017681006378868,True,1.4674160902293987,True,True,0.9946811631591053,True,32,30,2,0,0.9375,0.006649254370949357,0.007462394887001399,0.014405843423309174,-0.0038416520736214432,0.014405843423309174
0.5,0.1,path,boundary_pair,log,exponential,0.05,0.010531714371046018,-0.047451020391308184,True,0.0624241534178648,True,True,0.9631468964981186,True,32,29,3,0,0.90625,0.001025423714035475,0.003007341015033454,0.008218647486839155,-0.0038597278877323463,0.008218647486839155
0.5,0.5,path,boundary_pair,log,exponential,0.05,0.0005262597178513031,-0.18631932360053446,True,0.00014857997671651062,True,True,0.7969080252095307,True,32,28,4,0,0.875,2.850785783249871e-06,0.00015345961043527714,0.0005096855111898543,-0.00021715132534214858,0.0005096855111898543
1.0,0.02,path,boundary_pair,log,exponential,0.05,0.0639383149688281,-0.011181291196791825,True,2.4733857124156247,True,True,0.969824156337438,True,32,32,0,0,1.0,0.012933367315005107,0.011966427796803113,0.01846797891389844,0.0022110345450068875,0.01846797891389844
1.0,0.1,path,boundary_pair,log,exponential,0.05,0.021585115986397375,-0.029772055827596643,True,0.18749020781132128,True,True,0.9644044565943359,True,32,31,1,0,0.96875,0.005800966647418013,0.006557717329436514,0.011979301617423792,-0.00020238749533584358,0.011979301617423792
1.0,0.5,path,boundary_pair,log,exponential,0.05,0.0010878002168933521,-0.08362594987944985,True,0.0011956547551022969,True,True,0.8254868787651053,True,32,30,2,0,0.9375,9.726068034127545e-05,0.00033506540693276283,0.0009523878373980331,-0.00029440412340543025,0.0009523878373980331
2.0,0.02,path,boundary_pair,log,exponential,0.05,0.13345317209277294,-0.01085504267231862,True,2.1229046355171715,True,True,0.9161736251327843,True,32,32,0,0,1.0,0.016987696115367434,0.01532571403514343,0.029435113769156973,0.00042127538157932243,0.029435113769156973
2.0,0.1,path,boundary_pair,log,exponential,0.05,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.020479687547378406,0.01813358915579512,0.03272078961079148,0.0012458461721493591,0.03272078961079148
2.0,0.5,path,boundary_pair,log,exponential,0.05,0.008279985677878684,-0.04375496149616403,True,0.015155273774937514,True,True,0.8845105807195712,True,32,32,0,0,1.0,0.0029839932994684543,0.003268773964280133,0.004931136117459529,0.0006778826956790347,0.004931136117459529
4.0,0.02,path,boundary_pair,log,exponential,0.05,0.2900517674648748,-0.009852864190272037,True,1.0418616988756815,True,True,0.8155591258429133,True,32,32,0,0,1.0,0.0071360485625185655,0.01755290812324601,0.04713133411757703,5.055651475238676e-06,0.04713133411757703
4.0,0.1,path,boundary_pair,log,exponential,0.05,0.2199947503155516,-0.0427759058808018,True,1.041297996355324,True,True,0.8155573528821451,True,32,32,0,0,1.0,0.02382607491819913,0.030706270074509046,0.08575494148594609,2.1922897808224207e-05,0.08575494148594609
4.0,0.5,path,boundary_pair,log,exponential,0.05,0.08225854903083211,-0.06850424358693272,True,0.10642904960635562,True,True,0.815548488251745,True,32,31,1,0,0.96875,0.015824985752398386,0.01900250078323466,0.05850329002986601,-0.0020189498336699863,0.05850329002986601
