lambda,h0,topology,initial_condition,defect_representation,commitment_law,block_factor,target_probability,max_real_transient_eigenvalue,transient_extinction_verified,minimum_expected_residence,all_states_positive_residence,all_states_residence_above_tolerance,minimum_schur_footprint,all_states_nonzero_schur_footprint,causal_probe_count,positive_causal_count,negative_causal_count,near_zero_causal_count,positive_causal_fraction,median_causal_effect,mean_absolute_causal_effect,max_absolute_causal_effect,min_causal_effect,max_causal_effect
0.0,0.02,path,boundary_pair,log,exponential,0.05,0.018586530124721317,-0.020000000000000136,True,0.6137874904148825,True,True,1.0099834956033915,True,32,25,7,0,0.78125,0.0015536010250282572,0.004338434028087286,0.011139852836800053,-0.00849472539511998,0.011139852836800053
0.0,0.02,path,boundary_pair,log,reciprocal,0.05,0.018586530124721317,-0.020000000000000136,True,0.6137874904148825,True,True,1.0099834956033915,True,32,25,7,0,0.78125,0.0015536010250282572,0.004338434028087286,0.011139852836800053,-0.00849472539511998,0.011139852836800053
0.0,0.02,path,boundary_pair,log,quadratic_exponential,0.05,0.018586530124721317,-0.020000000000000136,True,0.6137874904148825,True,True,1.0099834956033915,True,32,25,7,0,0.78125,0.0015536010250282572,0.004338434028087286,0.011139852836800053,-0.00849472539511998,0.011139852836800053
0.0,0.1,path,boundary_pair,log,exponential,0.05,0.006063007606001378,-0.10000000000000005,True,0.013627045119739715,True,True,0.942682619394473,True,32,25,7,0,0.78125,6.944421589777199e-05,0.0017481208119927974,0.005414213805524434,-0.0033703330108396483,0.005414213805524434
0.0,0.1,path,boundary_pair,log,reciprocal,0.05,0.006063007606001378,-0.10000000000000005,True,0.013627045119739715,True,True,0.942682619394473,True,32,25,7,0,0.78125,6.944421589777199e-05,0.0017481208119927974,0.005414213805524434,-0.0033703330108396483,0.005414213805524434
0.0,0.1,path,boundary_pair,log,quadratic_exponential,0.05,0.006063007606001378,-0.10000000000000005,True,0.013627045119739715,True,True,0.942682619394473,True,32,25,7,0,0.78125,6.944421589777199e-05,0.0017481208119927974,0.005414213805524434,-0.0033703330108396483,0.005414213805524434
0.0,0.5,path,boundary_pair,log,exponential,0.05,0.0002661673836207466,-0.49999999999999967,True,8.895299114513101e-06,True,True,0.7702801765181336,True,32,25,7,0,0.78125,1.8141187364681876e-08,7.79185310521624e-05,0.00025990491639979994,-0.00011650580323428517,0.00025990491639979994
0.0,0.5,path,boundary_pair,log,reciprocal,0.05,0.0002661673836207466,-0.49999999999999967,True,8.895299114513101e-06,True,True,0.7702801765181336,True,32,25,7,0,0.78125,1.8141187364681876e-08,7.79185310521624e-05,0.00025990491639979994,-0.00011650580323428517,0.00025990491639979994
0.0,0.5,path,boundary_pair,log,quadratic_exponential,0.05,0.0002661673836207466,-0.49999999999999967,True,8.895299114513101e-06,True,True,0.7702801765181336,True,32,25,7,0,0.78125,1.8141187364681876e-08,7.79185310521624e-05,0.00025990491639979994,-0.00011650580323428517,0.00025990491639979994
0.5,0.02,path,boundary_pair,log,exponential,0.05,0.035607865490604566,-0.013017681006378868,True,1.4674160902293987,True,True,0.9946811631591053,True,32,30,2,0,0.9375,0.006649254370949357,0.007462394887001399,0.014405843423309174,-0.0038416520736214432,0.014405843423309174
0.5,0.02,path,boundary_pair,log,reciprocal,0.05,0.03274902754595326,-0.014545864296472725,True,1.266144922435596,True,True,0.9917101063751662,True,32,30,2,0,0.9375,0.005602392696323949,0.006979283374103756,0.014443798641780883,-0.00546221789518439,0.014443798641780883
0.5,0.02,path,boundary_pair,log,quadratic_exponential,0.05,0.036921305593693984,-0.010757496420165283,True,1.6738019106004487,True,True,0.9991726463575957,True,32,32,0,0,1.0,0.007859952140912098,0.0072043459439673,0.012928337783116854,0.00019248190805296744,0.012928337783116854
0.5,0.1,path,boundary_pair,log,exponential,0.05,0.010531714371046018,-0.047451020391308184,True,0.0624241534178648,True,True,0.9631468964981186,True,32,29,3,0,0.90625,0.001025423714035475,0.003007341015033454,0.008218647486839155,-0.0038597278877323463,0.008218647486839155
