k,candidate,F_k,C_k,bounded_residual,exact_match
2,full_ordered_self,1,4,0.6,False
2,traceless,1,3,0.5,False
2,ordered_no_self,1,2,0.3333333333333333,False
2,unordered_self,1,3,0.5,False
2,unordered_no_self,1,1,0.0,True
2,single_generator,1,2,0.3333333333333333,False
3,full_ordered_self,2,9,0.6363636363636364,False
3,traceless,2,8,0.6,False
3,ordered_no_self,2,6,0.5,False
3,unordered_self,2,6,0.5,False
3,unordered_no_self,2,3,0.2,False
3,single_generator,2,3,0.2,False
4,full_ordered_self,3,16,0.6842105263157895,False
4,traceless,3,15,0.6666666666666666,False
4,ordered_no_self,3,12,0.6,False
4,unordered_self,3,10,0.5384615384615384,False
4,unordered_no_self,3,6,0.3333333333333333,False
4,single_generator,3,4,0.14285714285714285,False
5,full_ordered_self,5,25,0.6666666666666666,False
5,traceless,5,24,0.6551724137931034,False
5,ordered_no_self,5,20,0.6,False
5,unordered_self,5,15,0.5,False
5,unordered_no_self,5,10,0.3333333333333333,False
5,single_generator,5,5,0.0,True
6,full_ordered_self,8,36,0.6363636363636364,False
6,traceless,8,35,0.627906976744186,False
6,ordered_no_self,8,30,0.5789473684210527,False
6,unordered_self,8,21,0.4482758620689655,False
6,unordered_no_self,8,15,0.30434782608695654,False
6,single_generator,8,6,0.14285714285714285,False
7,full_ordered_self,13,49,0.5806451612903226,False
7,traceless,13,48,0.5737704918032787,False
7,ordered_no_self,13,42,0.5272727272727272,False
7,unordered_self,13,28,0.36585365853658536,False
7,unordered_no_self,13,21,0.23529411764705882,False
7,single_generator,13,7,0.3,False
8,full_ordered_self,21,64,0.5058823529411764,False
8,traceless,21,63,0.5,False
8,ordered_no_self,21,56,0.45454545454545453,False
8,unordered_self,21,36,0.2631578947368421,False
8,unordered_no_self,21,28,0.14285714285714285,False
8,single_generator,21,8,0.4482758620689655,False
9,full_ordered_self,34,81,0.40869565217391307,False
9,traceless,34,80,0.40350877192982454,False
9,ordered_no_self,34,72,0.3584905660377358,False
9,unordered_self,34,45,0.13924050632911392,False
9,unordered_no_self,34,36,0.02857142857142857,False
9,single_generator,34,9,0.5813953488372093,False
10,full_ordered_self,55,100,0.2903225806451613,False
10,traceless,55,99,0.2857142857142857,False
10,ordered_no_self,55,90,0.2413793103448276,False
10,unordered_self,55,55,0.0,True
10,unordered_no_self,55,45,0.1,False
10,single_generator,55,10,0.6923076923076923,False
11,full_ordered_self,89,121,0.1523809523809524,False
11,traceless,89,120,0.14832535885167464,False
11,ordered_no_self,89,110,0.10552763819095477,False
11,unordered_self,89,66,0.14838709677419354,False
11,unordered_no_self,89,55,0.2361111111111111,False
11,single_generator,89,11,0.78,False
12,full_ordered_self,144,144,0.0,True
12,traceless,144,143,0.003484320557491289,False
12,ordered_no_self,144,132,0.043478260869565216,False
12,unordered_self,144,78,0.2972972972972973,False
12,unordered_no_self,144,66,0.37142857142857144,False
12,single_generator,144,12,0.8461538461538461,False
13,full_ordered_self,233,169,0.15920398009950248,False
13,traceless,233,168,0.16209476309226933,False
13,ordered_no_self,233,156,0.19794344473007713,False
13,unordered_self,233,91,0.4382716049382716,False
13,unordered_no_self,233,78,0.4983922829581994,False
13,single_generator,233,13,0.8943089430894309,False
14,full_ordered_self,377,196,0.3158813263525305,False
14,traceless,377,195,0.3181818181818182,False
14,ordered_no_self,377,182,0.3488372093023256,False
14,unordered_self,377,105,0.5643153526970954,False
14,unordered_no_self,377,91,0.6111111111111112,False
14,single_generator,377,14,0.928388746803069,False
15,full_ordered_self,610,225,0.46107784431137727,False
15,traceless,610,224,0.4628297362110312,False
15,ordered_no_self,610,210,0.4878048780487805,False
15,unordered_self,610,120,0.6712328767123288,False
15,unordered_no_self,610,105,0.7062937062937062,False
15,single_generator,610,15,0.952,False
16,full_ordered_self,987,256,0.588093322606597,False
16,traceless,987,255,0.5893719806763285,False
16,ordered_no_self,987,240,0.60880195599022,False
16,unordered_self,987,136,0.7577916295636687,False
16,unordered_no_self,987,120,0.7831978319783198,False
16,single_generator,987,16,0.9680957128614157,False
17,full_ordered_self,1597,289,0.6935312831389183,False
17,traceless,1597,288,0.6944297082228117,False
17,ordered_no_self,1597,272,0.7089352594970573,False
17,unordered_self,1597,153,0.8251428571428572,False
17,unordered_no_self,1597,136,0.8430467397576457,False
17,single_generator,1597,17,0.9789343246592317,False
18,full_ordered_self,2584,324,0.7771664374140302,False
18,traceless,2584,323,0.7777777777777778,False
18,ordered_no_self,2584,306,0.788235294117647,False
18,unordered_self,2584,171,0.8758620689655172,False
18,unordered_no_self,2584,153,0.8881987577639752,False
18,single_generator,2584,18,0.9861644888547272,False
19,full_ordered_self,4181,361,0.841039189784236,False
19,traceless,4181,360,0.8414446157234089,False
19,ordered_no_self,4181,342,0.8487729383152774,False
19,unordered_self,4181,190,0.9130633722260353,False
19,unordered_no_self,4181,171,0.9214154411764706,False
19,single_generator,4181,19,0.9909523809523809,False
20,full_ordered_self,6765,400,0.8883461270062806,False
20,traceless,6765,399,0.8886097152428811,False
20,ordered_no_self,6765,380,0.893631910426872,False
20,unordered_self,6765,210,0.9397849462365592,False
20,unordered_no_self,6765,190,0.9453630481667865,False
20,single_generator,6765,20,0.9941046425939573,False
21,full_ordered_self,10946,441,0.9225432510757882,False
21,traceless,10946,440,0.9227121025821184,False
21,ordered_no_self,10946,420,0.9260953721625902,False
21,unordered_self,10946,231,0.9586651158629328,False
21,unordered_no_self,10946,210,0.9623520975259949,False
21,single_generator,10946,21,0.9961703291693261,False
22,full_ordered_self,17711,484,0.9467985710359988,False
22,traceless,17711,483,0.9469055732659118,False
22,ordered_no_self,17711,462,0.9491553403400649,False
22,unordered_self,17711,253,0.9718325539968826,False
22,unordered_no_self,17711,231,0.9742503622784527,False
22,single_generator,17711,22,0.9975187503524502,False
23,full_ordered_self,28657,529,0.963749743027479,False
23,traceless,28657,528,0.9638170292958712,False
23,ordered_no_self,28657,506,0.9652984946679011,False
23,unordered_self,28657,276,0.9809214391870874,False
23,unordered_no_self,28657,253,0.9824974057419578,False
